TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
26-Dec-08,43.93,41.74,41.74,41.74,12400
29-Dec-08,41.74,39.66,39.66,39.66,11000
30-Dec-08,39.66,37.7,37.68,37.68,13500
31-Dec-08,37.68,37.68,37.68,37.68,1000
1-Jan-09,37.68,35.8,35.8,35.8,15000
2-Jan-09,35.8,34.51,34.01,34.51,33500
5-Jan-09,34.51,36.23,36,36.23,10800
6-Jan-09,36.23,38.04,37.05,37.81,23300
9-Jan-09,37.81,39.7,36.31,37.06,11600
12-Jan-09,37.06,35.5,35.21,35.21,8000
13-Jan-09,35.21,33.5,33.45,33.45,2100
14-Jan-09,33.45,34.9,31.8,34.7,27500
15-Jan-09,34.7,33.5,33,33.32,4900
16-Jan-09,33.32,33.5,31.66,32.45,500
19-Jan-09,32.45,32.99,30.83,31.93,14700
20-Jan-09,31.93,32.9,30.5,32.7,3900
21-Jan-09,32.7,32,31.25,31.41,5000
22-Jan-09,31.41,31.25,30.25,31.25,1800
23-Jan-09,31.25,30.3,30.25,30.28,1000
26-Jan-09,30.28,31,30.25,30.38,1500
27-Jan-09,30.38,31.89,30,30.96,2000
28-Jan-09,30.96,32,32,32,600
29-Jan-09,32,31.1,30.4,31.03,19800
30-Jan-09,31.03,32.58,31.5,32.58,125200
2-Feb-09,32.58,34.2,33.75,34.2,39000
3-Feb-09,34.2,35.91,35.91,35.91,53400
4-Feb-09,35.91,37.7,37,37.62,35300
6-Feb-09,37.62,39.5,39.5,39.5,15900
9-Feb-09,39.5,41.47,41.47,41.47,29400
10-Feb-09,41.47,43.54,42,43.43,67800
11-Feb-09,43.43,45.6,43,45.6,30400
12-Feb-09,45.6,47.88,47.5,47.88,9600
13-Feb-09,47.88,50.27,49,49.68,117500
16-Feb-09,49.68,52.16,49,52.16,101200
17-Feb-09,52.16,54.76,53,53.85,173100
18-Feb-09,53.85,54,51.16,51.3,78000
19-Feb-09,51.3,51.99,48.74,51.16,99700
20-Feb-09,51.16,52.25,50,50.42,22000
23-Feb-09,50.42,51.99,48.52,49.66,19000
24-Feb-09,49.66,50.59,48,48.15,22400
25-Feb-09,48.15,48,45.75,45.75,35900
26-Feb-09,45.75,46.5,43.65,45.65,15700
27-Feb-09,45.65,47.5,46,47.47,3500
2-Mar-09,47.47,49.7,47.9,48.94,10500
3-Mar-09,48.94,48.4,46.6,47.2,13300
4-Mar-09,47.2,49.56,48,49.54,37000
5-Mar-09,49.54,51,49,49.09,89000
6-Mar-09,47.34,48,47.4,47.77,4500
9-Mar-09,47.77,47.25,46.05,47.25,3700
11-Mar-09,47.25,47,46.25,46.66,3200
12-Mar-09,46.66,48.2,46.99,48.17,2800
13-Mar-09,48.17,49,48.5,48.95,4900
16-Mar-09,48.95,51.39,51,51.39,38600
17-Mar-09,51.39,53.25,51.26,51.55,67800
18-Mar-09,51.55,51.1,49.7,50.05,50400
19-Mar-09,50.05,52.55,50.55,52.55,192000
20-Mar-09,52.55,55.17,54.32,54.91,237000
24-Mar-09,54.91,57.65,55.5,56.45,223900
25-Mar-09,56.45,59.27,56.4,59.12,284300
26-Mar-09,59.12,62.07,57.55,61.86,118400
27-Mar-09,61.86,64.95,62.5,64.95,61600
30-Mar-09,64.95,68.19,67.1,68.19,84400
31-Mar-09,68.19,71.59,67.05,67.46,270000
1-Apr-09,67.46,69.8,66.7,68.98,71100
2-Apr-09,68.98,72.4,69,70.67,296600
3-Apr-09,70.67,73.9,69.15,72.02,313600
6-Apr-09,72.02,73.5,71.31,71.87,589900
7-Apr-09,71.87,73.39,71,71.23,197700
8-Apr-09,71.23,72.25,68.1,68.26,58200
9-Apr-09,68.26,70.25,66.01,67.05,81500
