TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
5-Nov-13,73,73,73,73,500
6-Nov-13,75.5,75.5,75.5,75.5,500
13-Nov-13,71.85,71.85,71.85,71.85,500
18-Nov-13,70.5,70.5,70.5,70.5,2000
19-Nov-13,71,71,70,70,2500
20-Nov-13,72.99,73,72.99,73,1000
21-Nov-13,69.35,69.35,69.35,69.35,500
27-Nov-13,70,70,70,70,1500
29-Nov-13,69,69.99,68.5,68.5,4000
2-Dec-13,68.5,68.5,68.5,68.5,500
3-Dec-13,69,69,65.08,65.08,3500
5-Dec-13,63,63,63,63,1000
9-Dec-13,66,66.15,66,66.15,10500
10-Dec-13,69.25,69.25,67,67,2000
11-Dec-13,63.75,63.75,63.75,63.75,500
12-Dec-13,66.75,66.75,66.75,66.75,500
16-Dec-13,63.5,63.5,63.5,63.5,500
17-Dec-13,66.75,61.55,61.55,63.5,500
18-Dec-13,65,66.67,65,66.67,2500
20-Dec-13,68.8,68.8,68.8,68.8,1000
23-Dec-13,65.41,65.41,65.41,65.41,500
26-Dec-13,68,68.68,67,68.68,3000
27-Dec-13,71,71,71,71,500
1-Jan-14,70,70,70,70,1500
2-Jan-14,70,70,70,70,1500
3-Jan-14,70,66.5,66.5,70,500
8-Jan-14,68,68,68,68,1000
9-Jan-14,70.49,70.49,70.49,70.49,1500
17-Jan-14,70.49,70.49,66.97,66.97,3000
21-Jan-14,67,67,67,67,500
23-Jan-14,69,70.35,69,70.35,12500
24-Jan-14,68,72,68,72,8000
27-Jan-14,71,72,69.5,69.5,12000
28-Jan-14,70,70,70,70,1000
30-Jan-14,71.5,71.5,71.5,71.5,2500
7-Feb-14,68,70.9,68,70.9,1500
19-Feb-14,67.4,70.95,67.4,70.95,1000
21-Feb-14,70,70,70,70,500
24-Feb-14,71,71,71,71,500
25-Feb-14,71,71,71,71,1500
26-Feb-14,73.74,74.55,73,74.53,7500
3-Mar-14,77,78.25,77,78.25,2000
4-Mar-14,78,78.5,78,78.5,4000
14-Mar-14,78.5,78.5,78.5,78.5,500
17-Mar-14,78.5,78.5,78.5,78.5,500
18-Mar-14,78.5,78.5,78.5,78.5,1000
21-Mar-14,80,80,80,80,1500
24-Mar-14,80,80,80,80,500
25-Mar-14,76,79.99,76,79.99,13000
31-Mar-14,77,77.5,77,77.42,12000
2-Apr-14,77,77,77,77,2000
3-Apr-14,78,78,78,78,1000
4-Apr-14,80,80,80,80,1500
8-Apr-14,76,76,76,76,500
9-Apr-14,77.9,77.9,77.9,77.9,500
10-Apr-14,76,76.7,76.7,77.9,18500
15-Apr-14,78,78,78,78,2000
16-Apr-14,78,80,78,80,3000
18-Apr-14,78,78,77,77,3000
21-Apr-14,73.15,75,73.15,75,5000
22-Apr-14,75,76,75,76,3000
24-Apr-14,75,75,75,75,1000
25-Apr-14,78.75,78.75,78.75,78.75,1500
29-Apr-14,75.1,82.4,75.1,82.38,7000
30-Apr-14,86,86.46,82,86.46,3000
2-May-14,90,90,89,89.95,2500
6-May-14,89,89,89,89,500
7-May-14,89,89,89,89,1000
8-May-14,89.5,89.5,89.5,89.5,500
12-May-14,92,92,92,92,5000
13-May-14,94.7,94.7,94.7,94.7,500
14-May-14,0,98.95,98.95,94.7,5500
20-May-14,98,98,98,98,500
21-May-14,98,98,98,98,1000
22-May-14,94,94,94,94,1000
28-May-14,0,94,94,94,10000
29-May-14,95.5,95.5,95.5,95.5,500
9-Jun-14,100,100,100,100,500
10-Jun-14,0,96.5,96.5,96.5,0
11-Jun-14,94,94,94,94,1500
13-Jun-14,98,98,98,98,500
19-Jun-14,100.99,100.99,100.99,100.99,500
26-Jun-14,104.5,104.5,103,103,1500
7-Jul-14,107.9,107.9,105,105,1000
17-Jul-14,104.99,104.99,104.99,104.99,500
18-Jul-14,0,104.98,104.98,104.98,0
21-Jul-14,100,100,100,100,500
24-Jul-14,104.95,104.95,104.95,104.95,500
28-Jul-14,105.5,105.5,105.5,105.5,500
4-Aug-14,100.23,100.23,100.23,100.23,500
20-Aug-14,95.22,95.25,95.22,95.25,1500
21-Aug-14,95,95,95,95,2000
26-Aug-14,94,94,94,94,1000
27-Aug-14,0,93.81,93.81,93.81,0
29-Aug-14,98.5,98.5,98.5,98.5,500
2-Sep-14,103.42,103.42,103,103,1500
4-Sep-14,103.5,103.5,103.5,103.5,500
8-Sep-14,106,106,106,106,1000
9-Sep-14,103.8,104.01,103.8,104,3500
11-Sep-14,106,106,106,106,500
12-Sep-14,105,105,105,105,1000
15-Sep-14,103,103,103,103,1000
16-Sep-14,103,103,103,103,1000
17-Sep-14,103,103,103,103,1000
19-Sep-14,102,102,102,102,1000
22-Sep-14,103,103,103,103,1000
2-Oct-14,104.99,105,102,102,2000
3-Oct-14,107,107,105,107,2000
9-Oct-14,104,104,104,104,1000
10-Oct-14,103,103,103,103,2000
13-Oct-14,105.1,107,105.1,107,5500
14-Oct-14,107.6,109,107.5,109,3000
15-Oct-14,109.5,109.5,109.5,109.5,1000
16-Oct-14,106,106,105,105,2500
31-Oct-14,104.9,105,104.9,105,5500
5-Nov-14,109.9,110,109.9,110,1500
6-Nov-14,115.5,115.5,115.5,115.5,1500
7-Nov-14,121.24,121.27,121.24,121.26,6000
10-Nov-14,127.31,127.32,126,126.63,9500
11-Nov-14,127,127.01,120.99,121,7500
12-Nov-14,117,121,117,119,2500
13-Nov-14,117,124.95,117,117.59,12500
14-Nov-14,118.99,120.84,118.99,119.75,7500
17-Nov-14,117,117,114,114,9000
18-Nov-14,111,112.5,111,112.5,2000
19-Nov-14,115.49,115.49,115.49,115.49,1500
20-Nov-14,113,113,111.01,111.01,1000
24-Nov-14,113.01,113.01,106,110.55,2000
25-Nov-14,110.01,110.01,110,110,2500
26-Nov-14,109.01,110.01,109.01,110,2500
27-Nov-14,110.01,110.01,110.01,110.01,500
1-Dec-14,111.15,111.15,111.15,111.15,1000
2-Dec-14,112,112,112,112,500
3-Dec-14,112.25,117.6,110,117.6,7000
4-Dec-14,123.45,123.48,123.45,123.45,6500
5-Dec-14,124,127.99,122,125.77,10500
8-Dec-14,125,127.99,125,127.5,28500
9-Dec-14,127.5,132,127.5,129.64,10000
10-Dec-14,125,125,125,125,3000
11-Dec-14,129,129,123,123,1000
12-Dec-14,119,119,119,119,1000
15-Dec-14,120.5,121,120.5,121,1500
16-Dec-14,125.5,127.05,125.5,127,24000
17-Dec-14,132.75,132.75,123,123,2500
18-Dec-14,123,123,122.5,122.5,10000
19-Dec-14,127.5,127.5,123,123,1000
22-Dec-14,123,123,123,123,10000
23-Dec-14,123.5,123.5,120.25,123,8000
24-Dec-14,123.3,123.3,121,122,5000
26-Dec-14,118.25,118.25,118,118,2500
29-Dec-14,121.95,122.65,121.5,121.5,4000
30-Dec-14,122.5,122.5,122.5,122.5,500
31-Dec-14,123,128.62,123,128.59,33000
