TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
3-Jan-00,16.1,16,16,16,3000
4-Jan-00,16,15.5,15.3,15.5,6000
6-Jan-00,15.5,17.75,16,17.75,36500
12-Jan-00,17.75,18.05,17.2,18,29000
13-Jan-00,18,18.5,18.5,18.5,1000
14-Jan-00,18.5,18.25,17,18.2,11000
17-Jan-00,18.2,18.75,18,18.3,76000
18-Jan-00,18.3,18.25,17.3,18,32000
19-Jan-00,18,20,18,20,121000
20-Jan-00,20,21,20,20.5,151500
21-Jan-00,20.5,23,21,22.75,184000
24-Jan-00,22.75,23.4,20.65,20.65,128500
25-Jan-00,20.65,21.5,18.5,19.5,129000
26-Jan-00,19.5,20.75,20,20.25,49500
27-Jan-00,20.25,21,19,20,63000
28-Jan-00,20,20.75,20,20.25,31000
31-Jan-00,20.25,21.5,20.8,21.05,38500
1-Feb-00,21.05,21,20,20.5,33500
2-Feb-00,20.5,21,20.25,20.8,43500
3-Feb-00,20.8,21.25,20.75,20.75,43500
4-Feb-00,20.75,21.1,20.8,20.85,43500
7-Feb-00,20.85,21,21,21,13000
8-Feb-00,21,21.2,21,21,31500
9-Feb-00,21,20.8,20.35,20.6,13500
10-Feb-00,20.6,21.95,20.6,21.4,137500
11-Feb-00,21.4,24,21.35,21.35,308500
14-Feb-00,21.35,23,22.55,22.55,79000
15-Feb-00,22.55,23.05,22.5,22.75,56000
16-Feb-00,22.75,23.25,21.5,22,99500
17-Feb-00,22,22.5,22,22.5,33000
18-Feb-00,22.5,23,22,22.3,68500
21-Feb-00,22.3,24,22,23.8,69500
22-Feb-00,23.8,24,23.45,23.5,35500
23-Feb-00,23.5,26.5,24,26.4,295500
24-Feb-00,26.4,27,25.25,26.5,137500
25-Feb-00,26.5,27,25.25,26.5,221500
28-Feb-00,26.5,25.5,24.25,24.25,73000
29-Feb-00,24.25,25.25,23,23,84500
1-Mar-00,23,24.5,22.5,24.5,21500
2-Mar-00,24.5,25,22.5,23.5,30000
3-Mar-00,25,24.25,22.5,22.5,18500
6-Mar-00,22.5,24.5,23.75,24,11000
7-Mar-00,24,24.25,23.25,23.5,18500
8-Mar-00,23.5,23.35,23,23.35,804500
9-Mar-00,23.35,22.85,22,22.25,4500
10-Mar-00,22.25,22.85,22,22,16500
13-Mar-00,22,22,21.35,21.35,32000
14-Mar-00,21.35,21.25,21.25,21.25,2500
15-Mar-00,21.25,22.45,21.65,22.45,14000
16-Mar-00,22.45,22.5,22.5,22.5,1500
20-Mar-00,22.5,22.7,21.9,22.4,9500
21-Mar-00,22.4,22.7,22,22.7,78500
22-Mar-00,22.7,23.8,22.35,22.5,48000
24-Mar-00,22.5,22,21.1,21.1,14500
27-Mar-00,21.1,21.5,21,21.25,6500
28-Mar-00,21.25,22,20.75,22,11000
29-Mar-00,22,24.5,22,23.25,124500
30-Mar-00,23.25,23.6,23,23.25,21500
31-Mar-00,23.25,23.75,23.1,23.5,43500
3-Apr-00,23.5,23.7,23,23.5,74500
4-Apr-00,23.5,23,22.75,23,52000
5-Apr-00,23,23,22.5,23,29500
6-Apr-00,23,22.75,22.75,22.75,3000
7-Apr-00,22.75,23,22.65,22.65,3000
10-Apr-00,22.65,23,22.1,23,37500
11-Apr-00,23,23.5,22.5,22.65,40500
12-Apr-00,22.65,22.7,22.3,22.5,30500
13-Apr-00,22.5,23,22,22,44000
14-Apr-00,22,22.75,22.25,22.5,23500
17-Apr-00,22.5,22.9,22.5,22.9,34000
18-Apr-00,22.9,23.45,22.6,22.95,58000
19-Apr-00,22.95,23.5,23,23,23000
20-Apr-00,23,24.5,22.9,24,76500
21-Apr-00,24,25.5,23.55,24.5,124000
24-Apr-00,24.5,26.45,24.5,24.75,361000
25-Apr-00,24.75,27.25,25,26.8,502500
26-Apr-00,26.8,28.35,27,27.85,346000
27-Apr-00,27.85,29.75,26.7,29.75,522000
28-Apr-00,29.75,30.4,28.25,30,473000
1-May-00,30,32.35,30.5,31,335000
2-May-00,31,30.95,27.05,27.25,152500
3-May-00,27.25,28.2,26,27.4,118500
4-May-00,27.4,27.75,25.1,25.8,1796500
5-May-00,25.8,26.5,24.6,24.6,144000
8-May-00,24.6,25,23.6,24.7,93000
9-May-00,24.7,25,22.5,22.8,156000
10-May-00,22.8,23.7,22.15,23.65,176500
11-May-00,23.65,24.25,22.6,23.1,94000
12-May-00,23.1,23.25,22.5,23.1,123000
15-May-00,23.1,24.5,22.8,23,39000
16-May-00,23,23,22.05,22.95,51000
17-May-00,22.95,25,22.85,25,117000
18-May-00,25,25.5,23.5,24.7,126500
19-May-00,24.7,24.25,23.25,24.25,31500
22-May-00,24.25,24.6,24,24,10500
23-May-00,24,24.25,23.25,24.25,39000
24-May-00,24.25,24.1,23,23,29000
25-May-00,23,23.9,22.75,23.25,18000
26-May-00,23.25,23,20,20,82500
29-May-00,20,22.1,20.25,21,60500
31-May-00,21,22,20.25,21.75,262000
1-Jun-00,21.75,22.5,20.5,21.75,177000
2-Jun-00,21.75,23.5,21,23,75500
5-Jun-00,23,22,21.85,21.85,11500
6-Jun-00,21.85,21,20.8,21,124000
7-Jun-00,21,22,21.6,21.75,132500
8-Jun-00,21.75,21.75,21.25,21.25,9000
9-Jun-00,21.25,21.25,20,21,8500
12-Jun-00,21,22.25,21.75,22.05,13500
13-Jun-00,22.05,22.25,21.35,21.95,18500
14-Jun-00,21.95,22,21.65,21.9,16500
15-Jun-00,21.9,22,21.5,22,16000
19-Jun-00,22,21.5,21,21,5500
20-Jun-00,21,22.25,21.5,22,11500
21-Jun-00,22,22,20.5,21.75,5000
22-Jun-00,21.75,22,21.6,21.6,18000
23-Jun-00,21.6,21.5,20.5,21.5,15000
26-Jun-00,21.5,21.5,21.5,21.5,1000
27-Jun-00,21.5,21.5,21,21.5,11000
28-Jun-00,21.5,21.95,21.95,21.95,1000
29-Jun-00,21.95,21.8,21.3,21.8,3000
30-Jun-00,21.8,21.95,21,21.7,14000
4-Jul-00,21.7,21.85,21.5,21.85,3500
5-Jul-00,21.85,21.3,21.3,21.3,5000
6-Jul-00,21.3,22,22,22,2000
7-Jul-00,22,21.75,21.25,21.75,9500
10-Jul-00,21.75,21.6,21,21.3,3500
11-Jul-00,21.3,21.45,21,21,5000
12-Jul-00,21,21.5,21,21.5,9500
13-Jul-00,21.5,21.1,21.1,21.1,500
14-Jul-00,21.1,21.4,21,21.4,2000
17-Jul-00,21.4,21.5,21,21,9000
18-Jul-00,21,21.75,21.4,21.7,12000
19-Jul-00,21.7,22.25,21.75,22,20500
20-Jul-00,22,22.25,22,22.25,27500
24-Jul-00,22.25,21,21,21,500
25-Jul-00,21,23.4,21.9,22.5,72500
26-Jul-00,22.5,23.5,22.5,23.4,53500
27-Jul-00,23.4,23.9,22.6,22.9,66500
28-Jul-00,22.9,23.15,22.75,23,20500
31-Jul-00,23,23.6,23,23,2500
1-Aug-00,23,23.15,22.9,22.9,3500
2-Aug-00,22.9,22.5,22.5,22.5,7500
3-Aug-00,22.5,23,22.5,22.55,30500
4-Aug-00,22.55,23.05,22.65,22.9,40500
7-Aug-00,22.9,23.35,23.1,23.2,19000
8-Aug-00,23.2,23.15,23,23,5000
9-Aug-00,23,23,22.9,23,14000
10-Aug-00,23,23,22.8,23,18000
11-Aug-00,23,22.9,22.75,22.75,9000
15-Aug-00,22.75,22.75,22.75,22.75,500
16-Aug-00,22.75,23,21,21.55,17000
17-Aug-00,21.55,22,22,22,1000
18-Aug-00,22,21.95,21,21.95,16000
21-Aug-00,21.95,21.45,21.45,21.45,2000
22-Aug-00,21.45,21.6,21.5,21.5,28500
23-Aug-00,21.5,21.1,21,21,14000
25-Aug-00,21,20.6,20.25,20.25,9000
28-Aug-00,20.25,20.05,19.5,20.05,4000
29-Aug-00,20.05,20.05,20,20,6000
30-Aug-00,20,20,20,20,2000
31-Aug-00,20,20,19.8,19.8,3500
1-Sep-00,19.8,20,19.75,19.75,9500
4-Sep-00,19.75,20.25,20,20.25,6000
6-Sep-00,20.25,20.9,20,20,12000
7-Sep-00,20,19.6,19.4,19.6,2500
8-Sep-00,19.6,19.5,19.1,19.5,8000
11-Sep-00,19.5,19.1,19,19,7000
12-Sep-00,19,19.25,19.25,19.25,1500
13-Sep-00,19.25,19.75,19.6,19.75,1500
14-Sep-00,19.75,19.2,19,19,75500
15-Sep-00,19,19,18.9,19,4500
18-Sep-00,19,18.6,18.6,18.6,1000
19-Sep-00,18.6,19,18.9,19,5500
20-Sep-00,19,18.9,18.8,18.9,2500
21-Sep-00,18.9,19,18.5,19,39500
22-Sep-00,19,19,18.25,18.25,25500
25-Sep-00,18.25,18.95,18.5,18.85,19000
26-Sep-00,18.85,18.7,18.25,18.5,52000
27-Sep-00,18.5,18.6,18.4,18.4,18500
28-Sep-00,18.4,18.3,18.2,18.3,3500
29-Sep-00,18.3,18.35,18.2,18.35,2500
2-Oct-00,18.35,18.1,18,18.1,4500
3-Oct-00,18.1,18.5,18,18.5,17500
4-Oct-00,18.5,18.1,18,18.1,3500
5-Oct-00,18.1,18.25,18,18,8000
6-Oct-00,18,18,17.5,18,2000
9-Oct-00,18,18.4,18,18,4000
10-Oct-00,18,17.9,17.3,17.8,4000
11-Oct-00,17.8,18,18,18,1000
12-Oct-00,18,18.5,17.5,18.5,8500
13-Oct-00,18.5,17.65,17.65,17.65,2000
16-Oct-00,17.65,17.5,17.1,17.5,4000
17-Oct-00,17.5,17.35,17,17.25,15500
18-Oct-00,17.25,18,17,18,23500
19-Oct-00,18,17.5,17.3,17.3,14000
20-Oct-00,17.3,18,17.15,17.3,66500
23-Oct-00,17.3,17.5,17.25,17.25,10000
24-Oct-00,17.25,18,17.6,18,17000
25-Oct-00,18,18,17.5,18,14500
26-Oct-00,18,18,17.5,17.5,19500
27-Oct-00,17.5,17.75,17.35,17.35,8500
30-Oct-00,17.35,17.5,17.25,17.25,2000
31-Oct-00,17.25,18,17.2,17.25,56500
1-Nov-00,17.25,17.6,17.25,17.25,12500
2-Nov-00,17.25,17.25,17.25,17.25,13500
3-Nov-00,17.25,17.25,17.2,17.2,3500
6-Nov-00,17.2,17.5,17.3,17.5,2500
7-Nov-00,17.5,17.5,16.75,17,13500
8-Nov-00,17,20,16.7,18.15,218500
10-Nov-00,18.15,18.2,17.5,17.55,40500
13-Nov-00,17.55,17.9,17.7,17.7,9000
14-Nov-00,17.7,17.85,17.65,17.75,17000
15-Nov-00,17.75,17.65,17.4,17.4,8500
16-Nov-00,17.4,17.65,17.55,17.55,10500
17-Nov-00,17.55,17.6,17.3,17.4,9500
20-Nov-00,17.4,17.35,17.1,17.1,4500
21-Nov-00,17.1,17.3,16.7,17,122500
22-Nov-00,17,17.5,16.75,17,171000
23-Nov-00,17,17.05,16.9,16.95,19500
24-Nov-00,16.95,16.85,16,16,117000
27-Nov-00,16,16.65,16.45,16.65,6000
28-Nov-00,16.65,16.75,16.75,16.75,5000
29-Nov-00,16.75,17,16.75,16.8,29500
30-Nov-00,16.8,17.05,16.85,16.85,10500
2-Dec-00,16.85,17.8,16.95,17,12500
4-Dec-00,17,17.5,17.05,17.25,18000
5-Dec-00,17.25,17.9,17.25,17.45,12500
6-Dec-00,17.45,17.75,17.4,17.5,11000
7-Dec-00,17.5,17.5,17.25,17.5,66000
9-Dec-00,15,16.1,15,16.1,48000
11-Dec-00,16.1,16.35,16,16.2,29500
12-Dec-00,16.2,16.15,15.95,16.1,43000
13-Dec-00,16.1,16.15,15.95,16,25000
14-Dec-00,16,16.1,16,16,38000
16-Dec-00,16,17,16.5,16.6,117500
18-Dec-00,16.6,17.25,16.6,17,25000
19-Dec-00,17,16.75,16.7,16.7,25000
20-Dec-00,16.7,20,16.95,18,59000
21-Dec-00,18,19,17.85,17.85,26000
23-Dec-00,17.85,17.6,17.5,17.5,10000
26-Dec-00,17.5,18.25,17.5,17.5,9000
1-Jan-01,17.5,19.15,17.35,19.15,43500
2-Jan-01,19.15,19,18,18.05,71500
3-Jan-01,18.05,18.9,18,18.75,111000
4-Jan-01,18.75,19.4,18.2,18.2,59500
5-Jan-01,18.2,18.7,18.15,18.7,20000
8-Jan-01,18.7,18.85,18.05,18.05,17500
9-Jan-01,18.05,18.1,17.85,18,20500
10-Jan-01,18,18,17.85,17.85,8500
11-Jan-01,17.85,18,17.85,17.85,10000
12-Jan-01,17.85,17.8,17.5,17.5,8500
15-Jan-01,17.5,17.5,17.3,17.3,1500
16-Jan-01,17.3,17.9,16.75,17.05,63000
17-Jan-01,17.05,17.45,16.95,17,387000
18-Jan-01,17,17.4,17,17,74500
19-Jan-01,17,16.9,16.8,16.9,6000
22-Jan-01,16.9,17,16.9,17,62500
23-Jan-01,17,17.2,17.05,17.15,40500
24-Jan-01,17.15,17.2,17.05,17.05,38000
25-Jan-01,17.05,17,16.9,17,30500
26-Jan-01,17,16.9,16.6,16.6,11000
29-Jan-01,16.6,17,16.9,16.9,4000
30-Jan-01,16.9,16.9,16.75,16.9,6000
31-Jan-01,16.9,17,17,17,11000
1-Feb-01,17,17.4,16.75,16.75,11500
2-Feb-01,16.75,16.7,16.6,16.6,8000
6-Feb-01,16.6,17,16.55,16.95,30500
7-Feb-01,16.95,17.15,16.8,17,16000
8-Feb-01,17,17.2,16.8,16.8,12500
9-Feb-01,16.8,17,16.5,16.5,14500
12-Feb-01,16.5,16.9,16.5,16.5,21000
13-Feb-01,16.5,16.75,16.4,16.45,26000
14-Feb-01,16.45,16.95,16.5,16.95,41000
15-Feb-01,16.95,17,16.4,16.75,23000
16-Feb-01,16.75,16.45,16,16.45,3000
19-Feb-01,16.45,16.4,16,16.1,17500
20-Feb-01,16.1,16,16,16,2000
21-Feb-01,16,16.5,16,16.25,11000
22-Feb-01,16.25,16,15.75,16,12000
23-Feb-01,16,16,16,16,1000
26-Feb-01,16,16.25,15.4,15.7,6500
27-Feb-01,15.7,16.5,15.45,16,10000
28-Feb-01,16,16.2,16,16.1,17000
1-Mar-01,16.1,16.5,16,16.45,36500
2-Mar-01,16.45,19.5,16.2,19.5,33000
9-Mar-01,19.5,17.6,16.75,17,4500
12-Mar-01,17,16.85,16.75,16.85,3500
13-Mar-01,16.85,16.4,16.1,16.1,5000
14-Mar-01,16.1,16.15,16.1,16.1,2000
15-Mar-01,16.1,16.3,16.1,16.3,11500
19-Mar-01,16.3,16,16,16,6000
20-Mar-01,16,16,16,16,1000
22-Mar-01,16,16.95,15.5,16.95,24000
26-Mar-01,16.95,16.75,15.5,15.5,9000
27-Mar-01,15.5,15.7,15.6,15.7,19000
29-Mar-01,15.7,15.55,15.5,15.5,1000
30-Mar-01,15.5,16.15,15.5,15.8,15000
2-Apr-01,15.8,15.9,15.6,15.75,4500
3-Apr-01,15.75,15.7,15.3,15.3,7000
6-Apr-01,15.3,15.65,15.45,15.65,7000
9-Apr-01,15.65,15.7,15.6,15.7,3500
10-Apr-01,15.7,15.7,15.65,15.65,5500
11-Apr-01,15.65,15.5,15,15,55000
12-Apr-01,15,15.1,15,15.1,10500
13-Apr-01,15.1,15.8,15.3,15.65,39000
16-Apr-01,15.65,16.25,15.85,16.25,41500
17-Apr-01,16.25,16.75,16.25,16.4,24500
18-Apr-01,16.4,17,16.35,16.6,66000
19-Apr-01,16.6,16.75,16.5,16.5,40500
20-Apr-01,16.5,17.3,16.8,17.3,26000
23-Apr-01,17.3,17.45,17.45,17.45,1000
24-Apr-01,17.45,17,16.9,16.9,2000
26-Apr-01,16.9,16.95,16.85,16.9,10000
27-Apr-01,16.9,16.9,16.9,16.9,2000
30-Apr-01,16.9,16.6,16.55,16.6,3000
2-May-01,16.6,17.3,16.6,17.3,16500
3-May-01,17.3,17.4,17.1,17.1,2000
4-May-01,17.1,17.1,16.5,16.5,13000
7-May-01,16.5,17.25,17,17.25,40000
8-May-01,17.25,17.35,16.7,16.85,15500
9-May-01,16.85,16.95,16.75,16.95,3500
10-May-01,16.95,16.95,16.65,16.95,8500
11-May-01,16.95,16.9,16.7,16.7,10000
14-May-01,16.7,16.6,16.6,16.6,1000
15-May-01,16.6,16.65,16.5,16.65,3500
16-May-01,16.65,16.75,16.75,16.75,3000
17-May-01,16.75,17,16.8,16.95,3000
18-May-01,16.95,16.95,16.75,16.75,2500
21-May-01,16.75,17,16.7,17,6000
22-May-01,17,17,16.8,17,3500
24-May-01,17,16.75,16.5,16.5,21500
28-May-01,16.5,17.15,17,17,1000
29-May-01,17,17,16.9,16.9,23500
30-May-01,16.9,16.95,16.9,16.95,1500
31-May-01,16.95,16.95,16.4,16.9,59000
1-Jun-01,16.9,16.8,16.25,16.25,12000
4-Jun-01,16.25,17,16.8,17,38000
6-Jun-01,17,17.05,16.85,16.85,22500
7-Jun-01,16.85,16.75,16.75,16.75,3000
8-Jun-01,16.75,16.5,16.4,16.4,7500
11-Jun-01,16.4,17.1,16.7,17,16500
12-Jun-01,17,17,17,17,5500
13-Jun-01,17,17.1,17.1,17.1,4000
14-Jun-01,17.1,16.95,16.95,16.95,1000
15-Jun-01,16.95,16.75,16.65,16.7,5500
18-Jun-01,16.7,17.8,17,17.45,78500
19-Jun-01,17.45,17,16.75,16.75,52000
20-Jun-01,16.75,16.75,16.6,16.6,4000
21-Jun-01,16.6,16.6,16.55,16.55,3000
22-Jun-01,16.55,16.85,16.55,16.55,7000
25-Jun-01,16.55,16.55,16.55,16.55,1000
27-Jun-01,16.55,16.55,16.55,16.55,0
28-Jun-01,16.55,16.5,16.5,16.5,6000
29-Jun-01,16.5,16.65,16.5,16.5,17000
5-Jul-01,16.5,16.5,16.5,16.5,15000
6-Jul-01,16.5,16.5,16.3,16.3,7500
10-Jul-01,16.3,17,16.75,16.85,66000
11-Jul-01,16.85,16.85,16.8,16.85,6000
12-Jul-01,16.85,17.5,16.75,17.5,8500
13-Jul-01,17.5,16.8,16.75,16.8,1500
16-Jul-01,16.8,16.75,16.75,16.75,500
18-Jul-01,16.75,16.5,16.5,16.5,1000
19-Jul-01,16.5,16.5,16.5,16.5,2500
20-Jul-01,16.5,16.5,16.5,16.5,10000
23-Jul-01,16.5,16.6,16.6,16.6,500
24-Jul-01,16.6,16.75,16.75,16.75,1000
25-Jul-01,16.75,17,17,17,3500
26-Jul-01,17,16.75,16.75,16.75,5000
27-Jul-01,16.75,17,16.8,16.8,31500
30-Jul-01,16.8,16.75,16.75,16.75,5000
31-Jul-01,16.75,17,16.8,16.8,8500
1-Aug-01,16.8,16.8,16.8,16.8,2000
2-Aug-01,16.8,17,16.85,17,3000
6-Aug-01,17,17.2,17.2,17.2,1000
7-Aug-01,17.2,17.5,17,17.5,35000
8-Aug-01,17.5,17.25,17.05,17.05,1500
9-Aug-01,17.05,17.45,17.1,17.1,1500
10-Aug-01,17.1,17.05,17,17,25500
15-Aug-01,17,18,17.6,17.6,3000
16-Aug-01,17.6,17.4,17.3,17.4,2000
17-Aug-01,17.4,17.05,16.8,16.8,6000
20-Aug-01,16.8,17,16.85,17,2500
21-Aug-01,17,16.9,16.9,16.9,1000
23-Aug-01,16.9,16.8,16.8,16.8,1000
24-Aug-01,16.8,17,17,17,500
27-Aug-01,17,16.75,16.5,16.75,28000
31-Aug-01,16.75,16.75,16.75,16.75,1000
3-Sep-01,16.75,16.95,16.75,16.95,3500
4-Sep-01,16.95,16.95,16.5,16.5,5000
6-Sep-01,16.5,16.5,16.25,16.5,5500
12-Sep-01,16.5,16.25,16.25,16.25,5000
13-Sep-01,16.25,16.1,16,16,23000
14-Sep-01,16,15.75,15,15.5,26500
24-Sep-01,15.5,14.75,14.75,14.75,500
25-Sep-01,14.75,14.5,14.1,14.5,5500
26-Sep-01,14.5,15.1,14.8,15.1,2000
27-Sep-01,15.1,15.2,15.2,15.2,26000
28-Sep-01,15.2,14.75,14.75,14.75,1000
1-Oct-01,14.75,14.8,14.8,14.8,1000
3-Oct-01,14.8,14.9,14.9,14.9,3000
5-Oct-01,14.9,15.5,14.3,14.3,4500
8-Oct-01,14.3,14.5,13.6,14.5,7000
9-Oct-01,14.5,16.5,14.95,16.5,14500
10-Oct-01,16.5,16.75,16,16.65,14000
11-Oct-01,16.65,16.75,16.75,16.75,10500
12-Oct-01,16.75,19.9,16.85,17.5,3500
15-Oct-01,17.5,17.75,17,17.6,38000
16-Oct-01,17.6,17.9,17.6,17.7,25500
17-Oct-01,17.7,18.85,17.95,18.85,20500
18-Oct-01,18.85,19.55,18.5,18.8,12500
19-Oct-01,18.8,18.5,18.3,18.5,16000
22-Oct-01,18.5,19.25,18.65,19.25,72500
23-Oct-01,19.25,18.55,18.5,18.55,2500
24-Oct-01,18.55,18.3,18.1,18.25,14500
25-Oct-01,18.25,18.25,18,18,29000
26-Oct-01,18,17.5,17.25,17.5,12000
29-Oct-01,17.5,17.5,17.5,17.5,5000
30-Oct-01,17.5,17,17,17,20500
31-Oct-01,17,17.5,17.05,17.05,21000
1-Nov-01,17.05,17.45,17,17,13000
2-Nov-01,17,17,17,17,6500
5-Nov-01,17,17,16.55,17,10500
6-Nov-01,17,17,16.95,17,29500
7-Nov-01,17,17,17,17,3500
8-Nov-01,17,17.75,17.15,17.5,4000
13-Nov-01,17.5,17.4,17.3,17.4,3000
14-Nov-01,17.4,18,18,18,500
15-Nov-01,18,19.45,18.25,18.25,1000
16-Nov-01,18.25,19,17.75,18.95,11500
19-Nov-01,18.95,19.75,19,19.5,31000
20-Nov-01,19.5,19.1,18.65,18.65,15000
21-Nov-01,18.65,18.9,18.4,18.6,5500
24-Nov-01,18.6,19,18.6,19,23500
26-Nov-01,19,18.85,18.8,18.85,11500
27-Nov-01,18.85,19.5,18.9,19,1500
28-Nov-01,19,19.25,19,19,2500
1-Dec-01,19,18.9,18.1,18.9,6000
3-Dec-01,18.9,18.55,18.5,18.5,4000
4-Dec-01,16.5,17.5,17,17,1000
5-Dec-01,17,18.4,17.1,17.1,6500
6-Dec-01,17.1,18.5,17.5,17.6,11500
8-Dec-01,17.6,19,17.95,19,16000
10-Dec-01,19,18.25,18.25,18.25,2000
11-Dec-01,18.25,18.1,18.1,18.1,2000
12-Dec-01,18.1,17.9,17.7,17.9,1500
20-Dec-01,17.9,18.4,17.5,18.4,2000
21-Dec-01,18.4,18.85,17.6,18.85,9000
24-Dec-01,18.85,17.8,17.5,17.5,16000
26-Dec-01,17.5,17.9,17.55,17.9,6500
27-Dec-01,17.9,17.7,17.6,17.7,10500
28-Dec-01,17.7,17.7,17,17.5,10000
1-Jan-02,17.5,18.2,17.5,18.2,5500
2-Jan-02,18.2,18.05,17.75,18,9000
3-Jan-02,18,18.1,18.1,18.1,6500
4-Jan-02,18.1,19.6,18.25,18.6,23000
7-Jan-02,18.6,19.9,19.9,19.9,500
9-Jan-02,19.9,19.7,19.25,19.65,25000
10-Jan-02,19.65,20.9,19.7,19.75,31000
11-Jan-02,19.75,19.65,19.65,19.65,2000
14-Jan-02,19.65,19.8,19.6,19.8,24500
15-Jan-02,19.8,20.45,19.95,19.95,12500
16-Jan-02,19.95,20.2,19.9,20,2000
17-Jan-02,20,21.5,20,21.5,72000
18-Jan-02,21.5,22.9,21.3,21.65,143000
