TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
16-Dec-08,9.9,8.9,8.9,8.9,500
18-Dec-08,8.9,7.9,7.9,7.9,500
19-Dec-08,7.9,6.9,6.9,6.9,500
22-Dec-08,6.9,5.9,5.9,5.9,3000
23-Dec-08,5.9,4.9,4.9,4.9,500
24-Dec-08,4.9,3.9,3.9,3.9,500
26-Dec-08,3.9,3.4,2.9,3.34,13069000
29-Dec-08,3.34,3.54,3,3.23,3024000
30-Dec-08,3.23,3.4,2.9,2.95,919000
31-Dec-08,2.95,3.18,2.79,3.03,731000
1-Jan-09,3.03,3.08,2.86,3.01,559500
2-Jan-09,3.01,3.35,3.13,3.19,2130000
5-Jan-09,3.19,3.8,3.22,3.53,4200000
6-Jan-09,3.53,3.74,3.41,3.47,2348500
9-Jan-09,3.47,3.3,2.9,3.08,1506000
12-Jan-09,3.08,3.18,2.94,3,407500
13-Jan-09,3,3.08,2.8,2.94,579500
14-Jan-09,2.94,3.09,2.85,3,217500
15-Jan-09,3,3.08,2.75,2.86,324500
16-Jan-09,2.86,2.97,2.51,2.64,231000
19-Jan-09,2.64,2.62,2.27,2.4,496000
20-Jan-09,2.4,2.8,2.4,2.59,304500
21-Jan-09,2.59,2.76,2.4,2.52,107000
22-Jan-09,2.52,2.57,2.31,2.4,65500
23-Jan-09,2.4,2.4,2,2.06,587500
26-Jan-09,2.06,2.2,1.97,2.1,246000
27-Jan-09,2.1,2.29,2,2.09,323500
28-Jan-09,2.09,2.45,2.22,2.32,411500
29-Jan-09,2.32,2.4,2.06,2.15,129000
30-Jan-09,2.15,2.4,2.01,2.37,228000
2-Feb-09,2.37,2.44,2.2,2.39,341000
3-Feb-09,2.39,2.29,2.11,2.24,77500
4-Feb-09,2.24,2.35,2.16,2.31,152000
6-Feb-09,2.31,2.5,2.17,2.26,319000
9-Feb-09,2.26,2.17,2,2.02,330500
10-Feb-09,2.02,2.1,1.97,1.99,133500
11-Feb-09,1.99,2.1,1.96,2,102000
12-Feb-09,2,1.99,1.87,1.87,142000
13-Feb-09,1.87,1.98,1.86,1.88,270000
16-Feb-09,1.88,2.09,1.75,1.92,755500
17-Feb-09,1.92,2.1,1.81,2,360000
18-Feb-09,2,2.02,1.95,1.99,282000
19-Feb-09,1.99,2.25,2.05,2.19,296500
20-Feb-09,2.19,2.28,2.1,2.17,445500
23-Feb-09,2.17,2.3,2,2.15,447500
24-Feb-09,2.15,2.24,2.02,2.12,131000
25-Feb-09,2.12,2.18,1.71,1.79,328000
26-Feb-09,1.79,2.15,1.75,2.01,172500
27-Feb-09,2.01,2.19,1.98,2.11,52000
2-Mar-09,2.11,2.29,2.02,2.06,144000
3-Mar-09,2.06,2.02,1.8,2.02,83500
4-Mar-09,2.02,2.19,1.9,2.07,197000
5-Mar-09,2.07,2.12,2,2.06,53500
6-Mar-09,2.06,2.1,2.05,2.05,27500
9-Mar-09,2.05,2.3,2.05,2.19,442000
11-Mar-09,2.19,2.22,2.1,2.13,21500
12-Mar-09,2.13,2.14,2.08,2.09,23500
13-Mar-09,2.09,2.1,2.04,2.09,38000
16-Mar-09,2.09,2.7,2.35,2.52,845000
17-Mar-09,2.52,2.55,2.3,2.31,289000
18-Mar-09,2.31,2.45,2.3,2.4,239000
19-Mar-09,2.4,2.46,2.3,2.44,114000
20-Mar-09,2.44,2.45,2.25,2.35,162000
24-Mar-09,2.35,3.35,2.3,3.34,3221000
