TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
7-Nov-08,39.28,39.28,39.28,39.28,500
15-Dec-08,39.28,37.32,37.32,37.32,0
16-Dec-08,37.32,35.46,35.46,35.46,100
17-Dec-08,35.46,33.69,33.69,33.69,100
18-Dec-08,33.69,32.01,32.01,32.01,0
19-Dec-08,32.01,30.41,30.41,30.41,0
22-Dec-08,30.41,28.89,28.89,28.89,500
23-Dec-08,28.89,27.45,27.45,27.45,200
24-Dec-08,27.45,26.08,26.08,26.08,0
26-Dec-08,26.08,24.78,24.78,24.78,1500
29-Dec-08,24.78,23.55,23.55,23.55,5700
30-Dec-08,23.55,22.38,22.38,22.38,400
31-Dec-08,22.38,21.27,21.27,21.27,31200
1-Jan-09,21.27,20.21,20.21,20.21,600
2-Jan-09,20.21,21.22,19.2,20.85,7285500
5-Jan-09,20.85,21.89,20.3,21.68,2451200
6-Jan-09,21.68,22.75,21.9,22.45,2758600
9-Jan-09,22.45,23.29,21.33,21.33,4069400
12-Jan-09,21.33,20.27,20.27,20.27,174200
13-Jan-09,20.27,19.26,19.26,19.26,97600
14-Jan-09,19.26,20.05,18.26,18.65,6868200
15-Jan-09,18.65,18.89,17.65,17.65,2949200
16-Jan-09,17.65,17.69,16.65,16.65,669300
19-Jan-09,16.65,15.65,15.65,15.65,141200
20-Jan-09,15.65,16.3,14.65,15.99,3071400
21-Jan-09,15.99,16.29,14.99,14.99,1248400
22-Jan-09,14.99,14.8,13.99,14,2499400
23-Jan-09,14,13.88,13,13.04,652600
26-Jan-09,13.04,13.7,12.04,13.01,1393300
27-Jan-09,13.01,14,12.62,13.87,4580100
28-Jan-09,13.87,14.69,13.92,14.3,3032600
29-Jan-09,14.3,14.35,13.3,13.51,1638500
30-Jan-09,13.51,14.51,13,14.51,2957200
2-Feb-09,14.51,15.51,14.15,15.51,2675000
3-Feb-09,15.51,16.34,15.07,15.97,3502200
4-Feb-09,15.97,16.55,15.65,16,3184700
6-Feb-09,16,16.6,15.65,16.04,3049800
9-Feb-09,16.04,16.1,15.04,15.04,859700
10-Feb-09,15.04,15,14.04,14.06,1138800
11-Feb-09,14.06,14.68,13.14,14.04,999400
12-Feb-09,14.04,14.5,14,14.02,377900
13-Feb-09,14.02,15.02,14.01,14.98,1938100
16-Feb-09,14.98,15.98,14.98,15.98,3113600
17-Feb-09,15.98,16.98,15.91,16.64,5596600
18-Feb-09,16.64,17.18,16.2,16.7,2999100
19-Feb-09,16.7,17.7,16.6,17.66,4566900
20-Feb-09,17.66,18.66,16.66,17.75,7738500
23-Feb-09,17.75,17.6,16.75,16.9,2875400
24-Feb-09,16.9,17.65,16.82,17.16,2120600
25-Feb-09,17.16,17.45,16.16,16.16,1331300
26-Feb-09,16.16,16.45,15.2,16.19,1789900
27-Feb-09,16.19,16.49,16,16.12,300000
2-Mar-09,16.12,16.79,15.53,16.03,1743300
3-Mar-09,16.03,15.8,15.03,15.41,1351000
4-Mar-09,15.41,16.41,15.3,16.41,3742900
5-Mar-09,16.41,17,16.12,16.37,1940800
6-Mar-09,16.37,17.1,16.2,16.75,2779000
9-Mar-09,16.75,16.7,16.22,16.31,350500
11-Mar-09,16.31,16.43,15.85,15.94,346200
12-Mar-09,15.94,16.94,15.95,16.83,981200
13-Mar-09,16.83,17.83,16.73,17.83,2382300
16-Mar-09,17.83,18.83,18.5,18.83,2489800
17-Mar-09,18.83,19.83,18.9,19.82,9780600
18-Mar-09,19.82,20.49,19.42,19.75,8362900
19-Mar-09,19.75,20.75,19.8,20.75,9359500
20-Mar-09,20.75,21.78,20.55,21.36,13721200
24-Mar-09,21.36,22.42,21,22.42,16531300
25-Mar-09,22.42,23.33,22.4,23.15,14645900
26-Mar-09,23.15,23.35,22,22,11700100
27-Mar-09,22,22.9,21.25,22.64,11829600
30-Mar-09,22.64,23.55,22.51,22.89,9212100
31-Mar-09,22.89,23.42,21.75,21.81,12964000
1-Apr-09,21.81,22.9,21.8,22.81,13183800
2-Apr-09,22.81,23.95,23,23.95,10024500
3-Apr-09,23.95,25.14,24.2,25.14,8437600
6-Apr-09,25.14,26.39,25.2,26.39,8472000
7-Apr-09,26.39,27.7,26.75,27.7,13247000
8-Apr-09,27.7,28.5,26.32,26.32,15490200
9-Apr-09,26.32,27.25,25.01,25.24,21368400
10-Apr-09,25.24,26.5,25.15,26.5,7640100
13-Apr-09,26.5,27.82,27.1,27.82,7931800
14-Apr-09,27.82,29.21,27.5,28.47,16535600
15-Apr-09,28.47,29.89,28.45,29.87,18003100
16-Apr-09,29.87,30.95,28.38,28.4,31426700
17-Apr-09,28.4,29.76,27.01,28.72,13511800
20-Apr-09,28.72,29.7,28.71,28.96,7599500
21-Apr-09,28.96,30.18,28.85,29.43,15910400
22-Apr-09,29.43,29.95,27.96,28.14,8741700
23-Apr-09,28.14,28.89,26.74,26.74,8344300
24-Apr-09,26.74,28.07,25.8,28.01,6558100
27-Apr-09,28.01,28.5,26.61,26.61,4122900
28-Apr-09,26.61,26.48,25.28,25.81,4947400
29-Apr-09,25.81,26.6,24.52,24.55,4483000
30-Apr-09,24.55,24.59,23.46,23.77,3082300
4-May-09,23.77,24.48,22.59,22.67,2788400
5-May-09,22.67,23.1,22,22.19,1847400
6-May-09,22.19,23.29,22.3,23.29,3488400
7-May-09,23.29,23.79,22.9,23.11,3884100
8-May-09,23.11,24.26,22.85,23.59,2830100
11-May-09,23.59,23.89,23,23.14,1909100
12-May-09,23.14,24.29,23.23,24.29,5439300
13-May-09,24.29,25.4,24.02,24.77,6439500
14-May-09,24.77,25.19,23.54,23.56,6490100
15-May-09,23.56,24.09,22.8,23.78,11392500
18-May-09,23.78,24.96,23.95,24.9,8599400
19-May-09,24.9,25.34,24.06,24.39,4661000
20-May-09,24.39,25.6,24.25,25.52,7103700
21-May-09,25.52,25.99,24.35,25.5,8410800
22-May-09,25.5,26.42,25.85,26.3,11378500
25-May-09,26.3,26.99,25.52,26.45,10360100
26-May-09,26.45,26.9,26.05,26.23,5602600
27-May-09,26.23,26.7,25.8,26.02,3478600
28-May-09,26.02,26.79,26.2,26.59,5699100
29-May-09,26.59,27.32,26.45,26.7,11215600
1-Jun-09,26.7,26.95,25.37,25.43,5328000
2-Jun-09,25.43,25.7,24.7,25.02,3214700
3-Jun-09,25.02,25.44,23.77,23.77,6789900
4-Jun-09,23.77,24.25,22.83,23,4505300
5-Jun-09,23,24.14,23.09,24.06,6130500
8-Jun-09,24.06,25.26,23.9,25.05,3941300
