TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2-Jan-09,20.43,19.41,19.41,19.41,500
6-Jan-09,19.41,18.41,18.41,18.41,500
12-Jan-09,18.41,17.41,17.41,17.41,500
14-Jan-09,17.41,16.41,16.41,16.41,500
30-Jan-09,16.41,15.41,15.41,15.41,16000
2-Feb-09,15.41,14.41,14.41,14.41,500
10-Feb-09,14.41,13.41,13.41,13.41,500
11-Feb-09,13.41,12.41,12.41,12.41,500
13-Feb-09,12.41,11.41,11.41,11.41,500
16-Feb-09,11.41,10.41,10.41,10.41,7500
17-Feb-09,10.41,9.9,9.41,9.53,10000
18-Feb-09,9.53,9.5,9.5,9.5,500
19-Feb-09,9.5,10.5,9.69,10.5,17000
20-Feb-09,10.5,11.5,11.5,11.5,2000
23-Feb-09,11.5,12.5,11.5,11.5,3000
24-Feb-09,11.5,11,10.5,10.5,3000
26-Feb-09,10.5,9.5,9.5,9.5,1000
27-Feb-09,9.5,8.55,8.55,8.55,500
2-Mar-09,8.55,9.49,7.65,8.98,4000
3-Mar-09,8.98,9.98,9.9,9.95,1500
4-Mar-09,9.95,10,10,10,500
5-Mar-09,10,9.01,9.01,9.01,3000
12-Mar-09,9.01,8.22,8.01,8.08,4000
13-Mar-09,8.08,9.08,8.92,8.99,4000
16-Mar-09,8.99,9.99,9.97,9.99,35500
17-Mar-09,9.99,10.99,10.98,10.98,500
18-Mar-09,10.98,10.99,10.89,10.9,9000
19-Mar-09,10.9,11.85,10,10.01,3500
20-Mar-09,10.01,10.9,10.77,10.77,500
24-Mar-09,10.77,10.75,10.75,10.75,0
25-Mar-09,10.75,10.69,10.69,10.69,0
26-Mar-09,10.69,10.4,10.4,10.4,0
27-Mar-09,10.4,10.9,9.4,9.81,6000
30-Mar-09,9.81,9.5,9.5,9.5,1000
31-Mar-09,9.5,9.01,9.01,9.01,500
1-Apr-09,9.01,9.5,9,9.49,2500
2-Apr-09,9.49,9.25,8.8,9.05,15500
3-Apr-09,9.05,9.7,9.65,9.65,2500
6-Apr-09,9.65,9.5,9,9,5500
7-Apr-09,9,9,9,9,1500
8-Apr-09,9,8.35,8.35,8.35,1000
9-Apr-09,8.35,8.95,8.9,8.92,1500
10-Apr-09,8.92,9.3,9,9.03,6500
13-Apr-09,9.03,10,8.2,9.44,24500
14-Apr-09,9.44,9.9,9,9.31,8000
15-Apr-09,9.31,9.8,9.75,9.77,1500
17-Apr-09,9.77,10,8.8,10,7500
20-Apr-09,10,10,10,10,7000
21-Apr-09,10,9.9,9.9,9.9,0
24-Apr-09,9.9,10.88,10.85,10.87,1000
27-Apr-09,10.87,10.75,9.87,10.34,6500
28-Apr-09,10.34,10.25,10.25,10.25,0
30-Apr-09,10.25,9.25,9.25,9.25,500
5-May-09,9.25,10.2,8.25,10.06,4500
6-May-09,10.06,10,10,10,0
7-May-09,10,10.99,9.95,10.46,2500
11-May-09,10.46,10.3,10.3,10.3,0
14-May-09,10.3,9.99,9.99,9.99,0
15-May-09,9.99,9.8,9.8,9.8,500
20-May-09,9.8,9.1,9.1,9.1,1000
21-May-09,9.1,9.1,9.1,9.1,1000
22-May-09,9.1,9.39,8.2,9,7000
25-May-09,9,9.99,8.16,9.21,13000
26-May-09,9.21,9.3,8.95,9.15,7000
27-May-09,9.15,8.5,8.5,8.5,500
28-May-09,8.5,9.05,8,8.79,6000
29-May-09,8.79,9.09,9.09,9.09,500
1-Jun-09,9.09,9.25,8.1,9.07,14000
2-Jun-09,9.07,9.5,9.5,9.5,500
3-Jun-09,9.5,9.5,8.5,8.75,10000
9-Jun-09,8.75,8.74,8.74,8.74,500
15-Jun-09,8.74,9.35,8.9,9.07,4000
16-Jun-09,9.07,9.5,8.95,8.95,500
17-Jun-09,8.95,8.5,7.95,8.05,17000
18-Jun-09,8.05,8.1,8,8.05,1000
19-Jun-09,8.05,8.1,8,8.01,7500
23-Jun-09,8.01,8.25,8,8.16,2000
24-Jun-09,8.16,8.1,8.1,8.1,0
25-Jun-09,8.1,8.5,8.05,8.19,12000
26-Jun-09,8.19,8.4,8.4,8.4,500
29-Jun-09,8.4,8.85,7.45,8.1,7000
30-Jun-09,8.1,8.5,8,8.3,16000
1-Jul-09,8.3,8.15,8.15,8.15,0
3-Jul-09,8.15,8.05,7.71,8.05,2500
6-Jul-09,8.05,8.4,8.4,8.4,500
7-Jul-09,8.4,8.15,8.15,8.15,0
8-Jul-09,8.15,7.5,7.5,7.5,500
9-Jul-09,7.5,7.95,6.65,7.85,1500
10-Jul-09,7.85,7.9,7.07,7.49,7500
13-Jul-09,7.49,8.34,8.34,8.34,500
14-Jul-09,8.34,8.1,8.1,8.1,0
15-Jul-09,8.1,7.96,7.11,7.21,21500
16-Jul-09,7.21,8.2,7,7.19,39500
17-Jul-09,7.19,7.8,7.5,7.71,9000
