TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
15-Dec-08,6.9,5.9,5.9,5.9,500
16-Dec-08,5.9,4.9,4.9,4.9,4000
17-Dec-08,4.9,3.9,3.9,3.9,74500
18-Dec-08,3.9,4.01,2.9,3.89,4938500
19-Dec-08,3.89,4.75,3.45,4.63,1334500
22-Dec-08,4.63,4.65,4.01,4.13,815000
23-Dec-08,4.13,4.05,3.55,3.69,492000
24-Dec-08,3.69,4.49,3.9,4,560500
26-Dec-08,4,5,4,4.97,1579000
29-Dec-08,4.97,5.7,4.62,5.05,1557000
30-Dec-08,5.05,5.05,4.11,4.27,1100500
31-Dec-08,4.27,4.95,4.15,4.7,627500
1-Jan-09,4.7,5.03,4.43,4.99,1458000
2-Jan-09,4.99,5.59,5.1,5.47,1524000
5-Jan-09,5.47,6.44,5.5,6.17,2904000
6-Jan-09,6.17,6.5,5.95,5.98,3089500
9-Jan-09,5.98,5.99,5.26,5.43,1320500
12-Jan-09,5.43,5.6,4.92,5.12,1225000
13-Jan-09,5.12,5.33,4.85,5.09,480000
14-Jan-09,5.09,5.4,5.05,5.11,733000
15-Jan-09,5.11,5.67,5.02,5.21,3501000
16-Jan-09,5.21,5.43,4.9,4.96,1632500
19-Jan-09,4.96,5.25,4.85,5.16,1165000
20-Jan-09,5.16,5.65,5,5.49,1757500
21-Jan-09,5.49,5.58,5,5.02,818000
22-Jan-09,5.02,5.18,4.84,4.96,786000
23-Jan-09,4.96,5.02,4.56,4.71,340500
26-Jan-09,4.71,4.9,4.56,4.62,463000
27-Jan-09,4.62,4.97,4.47,4.89,564500
28-Jan-09,4.89,5.35,5,5.05,2117500
29-Jan-09,5.05,5.25,4.72,5.14,839000
30-Jan-09,5.14,5.65,5.01,5.54,2795000
2-Feb-09,5.54,5.85,5.2,5.33,2784500
3-Feb-09,5.33,5.45,5.11,5.39,552000
4-Feb-09,5.39,5.9,5.3,5.78,3032500
6-Feb-09,5.78,6.05,5.5,5.77,2008000
9-Feb-09,5.77,5.8,5.16,5.33,703500
10-Feb-09,5.33,5.3,5.1,5.13,292500
11-Feb-09,5.13,5.42,4.99,5.28,1468000
12-Feb-09,5.28,5.3,5.14,5.2,564500
13-Feb-09,5.2,5.7,5.2,5.62,1024000
16-Feb-09,5.62,6.02,5.59,5.98,4256000
17-Feb-09,5.98,6.1,5.65,5.72,1943500
18-Feb-09,5.72,6.1,5.55,5.82,3008500
19-Feb-09,5.82,6.23,5.95,6.06,5408000
20-Feb-09,6.06,6.15,5.84,5.95,4312000
23-Feb-09,5.95,6.05,5.65,6,1815500
24-Feb-09,6,6.12,5.98,6,1433500
25-Feb-09,6,6.04,5.05,5.28,1753000
26-Feb-09,5.28,5.6,5.01,5.45,1287000
27-Feb-09,5.45,5.55,5.35,5.38,160500
2-Mar-09,5.38,5.5,5.13,5.21,585000
3-Mar-09,5.21,5.34,5.1,5.17,217000
4-Mar-09,5.17,5.7,5.15,5.62,782500
5-Mar-09,5.62,5.8,5.35,5.42,521000
6-Mar-09,5.42,5.7,5.3,5.53,320000
9-Mar-09,5.53,5.5,5.35,5.39,140000
11-Mar-09,5.39,5.53,5.2,5.24,414500
12-Mar-09,5.24,5.5,5.1,5.45,415000
13-Mar-09,5.45,5.59,5.3,5.55,326000
16-Mar-09,5.55,6.55,6.2,6.55,5007000
17-Mar-09,6.55,6.45,6.05,6.15,2211500
18-Mar-09,6.15,6.29,5.96,6.15,1166000
19-Mar-09,6.15,6.28,6,6.11,774000
20-Mar-09,6.11,6.3,5.9,5.98,671500
24-Mar-09,5.98,6.35,6.08,6.28,1495500
25-Mar-09,6.28,6.39,5.87,5.93,2008000
26-Mar-09,5.93,6.04,5.75,5.79,1582000
27-Mar-09,5.79,6.49,5.79,6.41,3490500
30-Mar-09,6.41,6.8,6.35,6.57,3548000
31-Mar-09,6.57,6.89,6.21,6.26,2668000
1-Apr-09,6.26,6.77,6.41,6.58,1520000
2-Apr-09,6.58,6.95,6.6,6.81,2041000
3-Apr-09,6.81,7.22,6.89,7.06,3222000
6-Apr-09,7.06,7.85,6.9,7.63,6626500
7-Apr-09,7.63,8.2,7.75,7.95,5412000
8-Apr-09,7.95,8.05,6.95,6.95,5592000
9-Apr-09,6.95,7.34,6.75,6.86,4832500
10-Apr-09,6.86,7.48,7,7.41,2655500
13-Apr-09,7.41,7.78,7.26,7.36,4420500
14-Apr-09,7.36,7.44,6.91,7.01,2179500
15-Apr-09,7.01,7.15,6.7,6.91,1972500
16-Apr-09,6.91,7.21,6.66,6.74,1670500
17-Apr-09,6.74,7,6.6,6.79,602000
20-Apr-09,6.79,7,6.8,6.9,619500
21-Apr-09,6.9,7.9,6.9,7.5,29400500
22-Apr-09,7.5,7.86,7.3,7.39,8784500
23-Apr-09,7.39,7.66,6.85,6.97,3930500
24-Apr-09,6.97,7.35,6.85,7.25,2381500
27-Apr-09,7.25,7.25,6.7,6.77,1660500
28-Apr-09,6.77,6.93,6.59,6.87,1801000
29-Apr-09,6.87,7.09,6.71,6.74,1195500
30-Apr-09,6.74,6.81,6.5,6.6,633500
4-May-09,6.6,6.9,6.47,6.49,737500
5-May-09,6.49,6.68,6.43,6.53,455500
6-May-09,6.53,7.07,6.5,7.01,1848500
7-May-09,7.01,7.1,6.71,6.77,624500
8-May-09,6.77,6.95,6.55,6.62,677000
11-May-09,6.62,6.86,6.55,6.62,333500
12-May-09,6.62,7.05,6.66,6.95,1461000
13-May-09,6.95,7.22,6.75,6.82,2159500
