TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
23-Jan-09,16.2,15.2,15.2,15.2,500
27-Jan-09,15.2,14.2,14.2,14.2,500
26-Feb-09,14.2,13.2,13.2,13.2,2000
27-Feb-09,13.2,12.2,12.2,12.2,10000
2-Mar-09,12.2,11.6,11.2,11.54,70000
3-Mar-09,11.54,12,10.8,10.97,37500
4-Mar-09,10.97,11.35,10.8,11.11,164000
5-Mar-09,11.11,11.24,10.8,10.89,42500
6-Mar-09,10.89,11.08,10.75,11,46500
9-Mar-09,11,11.1,11.08,11.1,11000
11-Mar-09,11.1,10.9,10.5,10.55,18500
12-Mar-09,10.55,11,10.8,10.96,16500
13-Mar-09,10.96,11.34,10.7,11.34,15500
16-Mar-09,11.34,12.15,11.75,11.87,66000
17-Mar-09,11.87,11.85,11.45,11.53,22000
18-Mar-09,11.53,11.69,11.55,11.58,9500
19-Mar-09,11.58,12.2,11.44,12,31500
20-Mar-09,12,12.35,11.85,11.85,37000
24-Mar-09,11.85,12.5,12,12.46,12000
25-Mar-09,12.46,12.9,12.2,12.51,11000
26-Mar-09,12.51,12.5,12.25,12.36,7500
27-Mar-09,12.36,13.36,12.88,13.36,19500
30-Mar-09,13.36,14.36,13.9,14.36,38000
31-Mar-09,14.36,14.8,13.7,13.8,18500
1-Apr-09,13.8,14.8,13.5,14.72,46500
2-Apr-09,14.72,14.99,14.99,14.99,1000
3-Apr-09,14.99,15.98,14.75,15.85,36000
6-Apr-09,15.85,16.85,15.7,16.62,95500
7-Apr-09,16.62,17.2,16.75,17.14,46500
8-Apr-09,17.14,16.75,16.14,16.5,35500
9-Apr-09,16.5,16.55,15.6,15.68,12500
10-Apr-09,15.68,16.68,16.1,16.67,19500
13-Apr-09,16.67,17.25,16.75,16.75,9000
14-Apr-09,16.75,17,15.75,15.87,15000
15-Apr-09,15.87,15.25,15.1,15.1,2500
16-Apr-09,15.1,15.35,15,15,12000
17-Apr-09,15,15.5,14.5,15.5,2000
20-Apr-09,15.5,15.99,15,15.27,10500
21-Apr-09,15.27,15.75,14.55,15.56,7500
22-Apr-09,15.56,16,15.3,15.86,14500
23-Apr-09,15.86,16.86,15.5,16.42,23000
24-Apr-09,16.42,17.42,16.4,17.31,27500
27-Apr-09,17.31,17.8,17,17.15,73500
28-Apr-09,17.15,18.15,17.5,18.15,163000
29-Apr-09,18.15,18.99,17.5,17.65,64500
30-Apr-09,17.65,17.75,16.8,16.85,20500
4-May-09,16.85,17.25,16.5,16.83,10500
5-May-09,16.83,16.74,16.15,16.57,11000
6-May-09,16.57,17.49,16.61,17.2,20500
7-May-09,17.2,17.24,16.62,16.75,11500
8-May-09,16.75,16.74,16.1,16.17,30000
11-May-09,16.17,15.82,15.65,15.77,6500
12-May-09,15.77,16.65,16.1,16.2,42500
13-May-09,16.2,16.7,16.2,16.23,38000
14-May-09,16.23,15.85,15.55,15.8,1500
18-May-09,15.8,16,15.85,15.98,9000
20-May-09,15.98,15.75,15.5,15.6,9000
21-May-09,15.6,15.8,15,15,20000
22-May-09,15,15.85,15.35,15.4,12500
25-May-09,15.4,16,15.69,15.96,12000
26-May-09,15.96,16.15,16.1,16.1,1000
27-May-09,16.1,16.42,16.01,16.01,10000
28-May-09,16.01,16.25,16.2,16.24,5000
29-May-09,16.24,16,15.8,16,3500
2-Jun-09,16,15.7,15.5,15.5,2500
3-Jun-09,15.5,15.45,15.11,15.11,1500
4-Jun-09,15.11,15.05,14.9,15,6500
5-Jun-09,15,15.5,15.01,15.38,4500
8-Jun-09,15.38,15.5,15.4,15.4,46000
9-Jun-09,15.4,15.8,15.5,15.75,6000
10-Jun-09,15.75,15.9,15.55,15.68,2000
11-Jun-09,15.68,15.75,15.5,15.71,11500
12-Jun-09,15.71,15.75,15.25,15.7,5000
15-Jun-09,15.7,15.85,15.7,15.74,7500
17-Jun-09,15.74,16,15.3,16,8000
18-Jun-09,16,15.75,15.75,15.75,1000
19-Jun-09,15.75,16,16,16,12000
22-Jun-09,16,16,15.71,15.75,6500
23-Jun-09,15.75,15.75,15.75,15.75,1000
24-Jun-09,15.75,15.75,15.52,15.52,3500
25-Jun-09,15.52,15.76,15.7,15.76,5000
26-Jun-09,15.76,15.8,14.8,15.74,22500
29-Jun-09,15.74,16.25,16,16.03,7500
30-Jun-09,16.03,15.76,15.66,15.66,2000
1-Jul-09,15.66,15.8,15.75,15.78,2000
2-Jul-09,15.78,16,15.75,15.75,1500
3-Jul-09,15.75,16,16,16,1000
6-Jul-09,16,15.9,15.75,15.8,1500
7-Jul-09,15.8,16.25,16,16,2500
10-Jul-09,16,15.8,15.8,15.8,1000
13-Jul-09,15.8,16.65,16,16.5,29000
14-Jul-09,16.5,17,16.5,16.5,11500
15-Jul-09,16.5,17.5,16.98,17.5,55000
16-Jul-09,17.5,18.5,18,18.22,32500
17-Jul-09,18.22,19.22,17.6,18.95,58500
20-Jul-09,18.95,19.25,17.95,17.98,55000
21-Jul-09,17.98,18.7,18,18.3,5802
22-Jul-09,18.3,18.7,18.3,18.6,6809
23-Jul-09,18.6,19.55,18.2,19.03,66660
24-Jul-09,19.03,19.5,18.35,18.99,28250
27-Jul-09,18.99,19,18.5,18.99,9000
28-Jul-09,18.99,19,18.11,19,144
29-Jul-09,19,19.2,18.4,18.75,11167
30-Jul-09,18.75,18.75,18.5,18.5,10500
31-Jul-09,18.5,19.2,18.5,18.9,27483
3-Aug-09,18.9,19.5,19,19.36,58626
4-Aug-09,19.36,20.36,19.5,20.34,155037
5-Aug-09,20.34,21.35,20.5,21.29,190223
6-Aug-09,21.29,21.7,20.7,21.18,35715
7-Aug-09,21.18,21.5,20.2,20.26,49209
10-Aug-09,20.26,21.2,20.3,20.75,58214
11-Aug-09,20.75,20.75,19.94,20.14,36101
12-Aug-09,20.14,20.35,19.75,19.78,19505
13-Aug-09,19.78,19.7,19.11,19.59,16927
17-Aug-09,19.59,19.48,18.9,19,5701
18-Aug-09,19,19.44,18.02,18.13,17904
19-Aug-09,18.13,18.5,18,18.03,25715
20-Aug-09,18.03,18.4,17.75,17.92,29738
21-Aug-09,17.92,18.75,18,18.52,11905
24-Aug-09,18.52,18.48,18,18.47,5701
25-Aug-09,18.47,18.4,17.93,18.35,2404
26-Aug-09,18.35,18.35,18,18.1,3705
27-Aug-09,18.1,18.1,17.8,17.87,5309
28-Aug-09,17.87,18.1,17.75,18,22701
31-Aug-09,18,18.09,17.7,18,6506
1-Sep-09,18,18.05,17.5,17.68,6601
2-Sep-09,17.68,18.25,17.51,17.79,3110
3-Sep-09,17.79,18.4,18,18.15,13991
4-Sep-09,18.15,18.59,18.11,18.37,9414
7-Sep-09,18.37,18.7,18,18.02,10914
8-Sep-09,18.02,18.6,17.56,18.02,1407
9-Sep-09,18.02,18.68,17.81,18.29,10056
10-Sep-09,18.29,18.39,17.55,18.39,3000
11-Sep-09,18.39,19.39,18.49,19.39,40919
14-Sep-09,19.39,20.39,20.39,20.39,13126
15-Sep-09,20.39,21.4,20.02,21.38,115217
16-Sep-09,21.38,21.95,21.11,21.45,28572
17-Sep-09,21.45,22.52,20.83,22.23,132587
18-Sep-09,22.23,22.99,21.12,21.32,275706
24-Sep-09,21.32,21.02,20.5,20.57,79701
25-Sep-09,20.57,21.11,20.26,20.61,68602
28-Sep-09,20.61,21,20.3,20.31,62085
29-Sep-09,20.31,20.75,20.3,20.66,28251
30-Sep-09,20.66,20.66,20,20.48,23655
1-Oct-09,20.48,20.4,20,20.13,7610
2-Oct-09,20.13,20.74,20,20.06,1102
5-Oct-09,20.06,20.75,19.76,20.49,75941
6-Oct-09,20.49,21.51,20.5,20.87,19648
7-Oct-09,20.87,21.38,20.71,21.06,12258
8-Oct-09,21.06,21.2,20.3,20.34,56915
9-Oct-09,20.34,20.79,20.21,20.5,51831
12-Oct-09,20.5,20.85,20.1,20.48,30501
13-Oct-09,20.48,20.69,20.35,20.67,2881
14-Oct-09,20.67,20.51,19.76,20.16,35892
15-Oct-09,20.16,20.5,19.75,19.93,27765
16-Oct-09,19.93,20.49,19,19.11,55997
19-Oct-09,19.11,19.47,18.12,18.18,18621
20-Oct-09,16.53,16.5,15.6,16.5,6998
21-Oct-09,16.5,16.25,15.55,15.55,9600
22-Oct-09,15.55,16.5,14.81,15.48,6501
23-Oct-09,15.48,15.49,15,15,12208
26-Oct-09,15,15,14.7,14.76,5602
27-Oct-09,14.76,15.35,14.8,14.8,15101
28-Oct-09,14.8,15.5,15,15.3,10000
29-Oct-09,15.3,15.3,14.3,14.37,24955
30-Oct-09,14.37,15.28,13.8,13.81,5116
2-Nov-09,13.81,13.99,13.16,13.16,10302
3-Nov-09,13.16,13.68,12.71,12.71,101
4-Nov-09,12.71,12.55,11.71,12.2,26506
5-Nov-09,12.2,12.27,11.6,11.7,13693
6-Nov-09,11.7,12.25,11.35,11.55,13521
10-Nov-09,11.55,12.28,11.01,11.25,2311
11-Nov-09,11.25,11.74,10.75,11.55,2010
12-Nov-09,11.55,11.6,11.25,11.28,8044
13-Nov-09,11.28,12,10.3,11.79,2118
16-Nov-09,11.79,12.79,11.5,11.7,5720
17-Nov-09,11.7,11.99,11.25,11.4,19214
18-Nov-09,11.4,11.75,11.25,11.4,1502
19-Nov-09,11.4,11.5,11.1,11.3,5002
20-Nov-09,11.3,11.5,11,11.33,15333
23-Nov-09,11.33,11.32,11.32,11.32,5000
24-Nov-09,11.32,11.79,10.9,11,8
25-Nov-09,11,11.79,10.9,11.38,4408
26-Nov-09,11.38,11.5,10.55,11.01,9104
1-Dec-09,11.01,11.85,10.3,10.7,5512
2-Dec-09,10.7,11,10.35,10.6,9124
3-Dec-09,10.6,10.89,10.5,10.5,6
