TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2-May-07,10,21.4,18.25,18.5,2749000
3-May-07,18.5,18.25,17.75,17.8,437500
4-May-07,17.8,18.8,17.4,18.8,911500
7-May-07,18.8,19.05,17.8,17.8,502000
8-May-07,17.8,17.8,17,17.6,446000
9-May-07,17.6,17.9,17.3,17.4,196000
10-May-07,17.4,17.45,16.9,16.95,282500
11-May-07,16.95,17.2,16.35,16.9,352500
14-May-07,16.9,16.75,16.15,16.55,234000
15-May-07,16.55,17.05,16.5,16.5,370000
16-May-07,16.5,16.5,15.5,15.6,409500
17-May-07,15.6,16,15.55,16,210500
18-May-07,16,16.2,15.85,16,186000
21-May-07,16,16.25,15.85,15.9,231500
22-May-07,15.9,16.15,15.8,15.95,140500
23-May-07,15.95,16,15.5,15.7,295500
24-May-07,15.7,16.7,15.8,16.7,852000
25-May-07,16.7,17.4,16.75,16.85,1658500
28-May-07,16.85,17.4,16.85,17.2,780000
29-May-07,17.2,17.4,16.8,17,563000
30-May-07,17,17.1,16.75,16.8,230000
31-May-07,16.8,17.2,16.75,16.9,289000
1-Jun-07,16.9,16.95,16.35,16.55,288500
4-Jun-07,16.55,16.65,16,16.3,342500
5-Jun-07,16.3,16.7,16.3,16.4,466500
6-Jun-07,16.4,16.5,16.05,16.05,173000
7-Jun-07,16.05,16.3,15.6,15.75,259500
8-Jun-07,15.75,15.95,15.5,15.65,227500
11-Jun-07,15.65,16,15.7,15.7,228000
12-Jun-07,15.7,16.25,15.7,16.05,405000
13-Jun-07,16.05,16.65,16,16.35,781500
14-Jun-07,16.35,16.75,16.2,16.25,943000
15-Jun-07,16.25,16.25,15.8,16,452000
18-Jun-07,16,16.2,16,16.1,221000
19-Jun-07,16.1,16.3,15.95,16,445500
20-Jun-07,16,16.15,15.95,15.95,179500
21-Jun-07,15.95,16.65,15.95,16.25,846500
22-Jun-07,16.25,16.4,15.6,16,331000
25-Jun-07,16,16.25,15.95,16.1,259000
26-Jun-07,16.1,16.25,16,16,154000
27-Jun-07,16,17,16.1,17,1790000
28-Jun-07,17,17.2,16.35,16.4,1705000
29-Jun-07,16.4,17.05,16.45,16.5,1759500
2-Jul-07,16.5,17.5,16.45,17.5,3568000
3-Jul-07,17.5,18.35,17.3,17.5,4556500
4-Jul-07,17.5,18.5,17.55,18.5,5036000
5-Jul-07,18.5,19.5,18.75,19.25,4736000
6-Jul-07,19.25,20.25,19.15,20.05,6769500
9-Jul-07,20.05,20.95,20.15,20.6,3446500
10-Jul-07,20.6,20.95,19.6,19.9,2514500
11-Jul-07,19.9,20.65,19,20.65,2547500
12-Jul-07,20.65,21.65,20.5,21.55,8227000
13-Jul-07,21.55,22,20.8,21,2692000
16-Jul-07,21,21.3,19.95,20,1965000
17-Jul-07,20,20.35,19.6,19.7,919000
18-Jul-07,19.7,20.25,18.7,18.7,1804500
19-Jul-07,18.7,18.5,17.7,17.7,1254000
