TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
4-Jan-01,3.55,3.75,3.75,3.75,1000
10-Jan-01,3.75,4.05,4.05,4.05,500
31-Jan-01,4.05,4,4,4,500
14-Feb-01,4,3.5,3.5,3.5,3500
15-Feb-01,3.5,3.75,3.5,3.75,11000
16-Feb-01,3.75,3.75,3.75,3.75,2000
16-Mar-01,3.75,3.75,3.75,3.75,500
23-Apr-01,3.75,3.75,3.75,3.75,500
26-Apr-01,3.75,3.75,3.75,3.75,500
7-May-01,3.75,3.75,3.2,3.75,2000
21-May-01,3.75,2.75,2.75,2.75,1000
29-May-01,2.75,3.5,3.5,3.5,1000
1-Jun-01,3.5,4,3,4,7500
12-Jun-01,4,3.5,3.5,3.5,500
18-Jun-01,3.5,4,4,4,500
25-Jun-01,4,5,5,5,1000
27-Jun-01,5,4,4,4,1000
29-Jun-01,4,5,5,5,1000
5-Jul-01,5,4.5,4.5,4.5,500
2-Aug-01,4.5,3.5,3.5,3.5,1000
17-Aug-01,3.5,3.5,3.5,3.5,3000
20-Aug-01,3.5,3.5,3.5,3.5,12000
24-Aug-01,3.5,2.65,2.3,2.3,5000
28-Aug-01,2.3,2.35,2.25,2.25,8000
30-Aug-01,2.25,2.25,2.25,2.25,500
31-Aug-01,2.25,2.25,2,2,20000
4-Sep-01,2,2,2,2,500
6-Sep-01,2,2,2,2,500
26-Sep-01,2,2.5,2.5,2.5,1500
27-Sep-01,2.5,2.5,2.5,2.5,1000
1-Oct-01,2.5,3,2.9,3,9500
2-Oct-01,3,3.75,3.15,3.75,15000
10-Oct-01,3.75,3.6,3.6,3.6,3500
11-Oct-01,3.6,4,4,4,2000
12-Oct-01,4,4,4,4,2000
18-Oct-01,4,3.9,3.85,3.85,11000
19-Oct-01,3.85,3.9,3.9,3.9,500
23-Oct-01,3.9,3.75,3.75,3.75,2000
24-Oct-01,3.75,3.95,3.9,3.95,4500
25-Oct-01,3.95,4,4,4,4000
15-Nov-01,4,4.5,4.1,4.5,15500
24-Nov-01,4.5,4.4,4.4,4.4,2000
1-Dec-01,4.4,4.3,4.3,4.3,1000
3-Dec-01,4.3,4,4,4,5000
5-Dec-01,4,3.9,3.9,3.9,500
27-Dec-01,3.9,3.75,3.7,3.7,1000
7-Jan-02,3.7,3.6,3.6,3.6,500
14-Jan-02,3.6,4.1,4.1,4.1,500
17-Jan-02,4.1,4.3,3.85,4.3,7000
18-Jan-02,4.3,4.65,4.3,4.65,6500
21-Jan-02,4.65,4.4,4.4,4.4,500
22-Jan-02,4.4,4.4,4.4,4.4,500
24-Jan-02,4.4,4.1,4.1,4.1,500
28-Jan-02,4.1,4.1,4.1,4.1,500
29-Jan-02,4.1,5.4,4.4,5.4,8500
31-Jan-02,5.4,6.5,6.5,6.5,2500
6-Feb-02,6.5,5.15,5.15,5.15,5000
26-Feb-02,5.15,5.1,5.1,5.1,500
27-Feb-02,5.1,4.05,4,4.05,1500
1-Mar-02,4.05,4.25,4.25,4.25,2000
5-Mar-02,4.25,4.5,4.4,4.5,8500
20-Mar-02,4.5,4.25,4.25,4.25,500
21-Mar-02,4.25,4.25,3,4,3000
26-Mar-02,4,4.1,4.1,4.1,0
27-Mar-02,4.1,4.1,4.1,4.1,500
28-Mar-02,4.1,4.2,4.2,4.2,0
29-Mar-02,4.2,4.5,4.5,4.5,1000
1-Apr-02,4.5,4.25,4.25,4.25,1000
9-Apr-02,4.25,4.5,4.25,4.25,6500
15-Apr-02,4.25,4.5,4.5,4.5,500
17-Apr-02,4.5,5,4.75,4.95,12500
18-Apr-02,4.95,4.65,4.6,4.6,7000
22-Apr-02,4.6,4.95,4.95,4.95,10000
23-Apr-02,4.95,4.9,4.9,4.9,0
24-Apr-02,4.9,4.85,4.85,4.85,0
29-Apr-02,4.85,4.7,4.7,4.7,0
10-May-02,4.7,4.2,4.2,4.2,5000
15-May-02,4.2,4.1,4.1,4.1,5000
20-May-02,4.1,4,4,4,0
22-May-02,4,4,4,4,500
30-May-02,4,4,4,4,5000
31-May-02,4,4,3.9,4,2500
5-Jun-02,4,3.8,3.8,3.8,4000
6-Jun-02,3.8,3.9,3.9,3.9,500
7-Jun-02,3.9,3.8,3.8,3.8,1000
10-Jun-02,3.8,3.8,3.8,3.8,3000
11-Jun-02,3.8,3.8,3.8,3.8,2000
12-Jun-02,3.8,3.8,3.8,3.8,2000
14-Jun-02,3.8,3.9,3.8,3.9,2000
17-Jun-02,3.9,3.6,3.6,3.6,500
18-Jun-02,3.6,3.8,3.8,3.8,0
21-Jun-02,3.8,3.95,3.9,3.95,2500
24-Jun-02,3.95,4,3.9,4,1500
25-Jun-02,4,4,3.85,3.85,6000
26-Jun-02,3.85,3.9,3.9,3.9,2000
1-Jul-02,3.9,3.8,3.8,3.8,500
2-Jul-02,3.8,3.85,3.85,3.85,0
9-Jul-02,3.85,3.85,3.85,3.85,500
12-Jul-02,3.85,3.85,3.85,3.85,3000
17-Jul-02,3.85,3.8,3.75,3.75,7500
18-Jul-02,3.75,3.75,3.75,3.75,500
24-Jul-02,3.75,3.75,3.75,3.75,1000
29-Jul-02,3.75,3.7,3.7,3.7,0
30-Jul-02,3.7,3.65,3.65,3.65,0
31-Jul-02,3.65,3.65,3.65,3.65,2000
1-Aug-02,3.65,4,3.9,3.9,2000
2-Aug-02,3.9,3.95,3.9,3.95,7500
6-Aug-02,3.95,3.95,3.95,3.95,1000
9-Aug-02,3.95,4.1,4,4.1,5000
12-Aug-02,4.1,4.05,4.05,4.05,0
13-Aug-02,4.05,4.05,4.05,4.05,5000
11-Sep-02,4.05,3.95,3.95,3.95,0
12-Sep-02,3.95,3.9,3.9,3.9,500
13-Sep-02,3.9,3.8,3.8,3.8,10000
16-Sep-02,3.8,3.9,3.9,3.9,500
20-Sep-02,3.9,3.6,3.6,3.6,10000
25-Sep-02,3.6,3.65,3.65,3.65,0
26-Sep-02,3.65,3.85,3.6,3.85,20000
2-Oct-02,3.85,3.9,3.9,3.9,500
7-Oct-02,3.9,4,4,4,1000
8-Oct-02,4,4,4,4,4500
9-Oct-02,4,4.1,4.1,4.1,10500
17-Oct-02,4.1,3.9,3.8,3.8,2500
18-Oct-02,3.8,3.8,3.8,3.8,500
21-Oct-02,3.8,3.8,3.75,3.75,2000
23-Oct-02,3.75,3.6,3.5,3.6,3500
24-Oct-02,3.6,3.7,3.7,3.7,4500
1-Nov-02,3.7,4,3.6,3.6,7000
4-Nov-02,3.6,3.6,3.5,3.5,7500
5-Nov-02,3.5,3,2.5,3,7000
11-Nov-02,3,2.8,2.8,2.8,5000
12-Nov-02,2.8,3,3,3,500
15-Nov-02,3,3,3,3,500
21-Nov-02,3,3.9,3.5,3.5,10500
25-Nov-02,3.5,3.5,3.5,3.5,2000
26-Nov-02,3.5,3.15,3.15,3.15,22500
28-Nov-02,3.15,3.25,3.25,3.25,0
2-Dec-02,3.25,3.25,3.25,3.25,500
10-Dec-02,3.25,3.9,3.9,3.9,2000
11-Dec-02,3.9,3.85,3.5,3.8,2500
12-Dec-02,3.8,3.85,3.85,3.85,3000
