TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
25-Jul-13,78.1,76.8,76.8,76.8,0
31-Jul-13,76.8,80.64,80.64,80.64,1000
1-Aug-13,80.64,80.6,80.6,80.6,0
21-Aug-13,80.6,79.39,79.39,79.39,0
22-Aug-13,79.39,75.43,75.43,75.43,0
23-Aug-13,75.43,79.15,79.15,79.15,1000
26-Aug-13,79.15,75.2,75.2,75.2,0
30-Aug-13,75.2,78.5,78.5,78.5,500
6-Sep-13,78.5,78.6,78.6,78.5,900000
9-Sep-13,78.5,74.58,74.58,74.58,0
10-Sep-13,74.58,70.86,70.86,70.86,0
11-Sep-13,70.86,74.4,67.32,73.22,3000
26-Sep-13,73.22,76.8,76.8,76.8,1000
27-Sep-13,76.8,79,79,79,1000
30-Sep-13,79,79,79,79,1000
4-Oct-13,79,75.05,75.05,75.05,0
7-Oct-13,75.05,71.3,71.3,71.3,500
9-Oct-13,71.3,70,70,70,0
5-Nov-13,69.9,69.9,69.9,69.9,65500
27-Nov-13,70,69.25,69.25,69.25,0
19-Dec-13,69.9,68.5,68.5,68.5,0
24-Dec-13,65.08,65.08,65.08,65.08,500
7-Jan-14,65.5,65.5,62,62,2500
17-Jan-14,59.5,59.5,59,59.33,1500
20-Jan-14,56.5,56.5,56.5,56.5,500
21-Jan-14,55,55,55,55,500
17-Feb-14,56.5,55,55,55,500
20-Feb-14,55,53.67,53.67,53.67,0
28-Feb-14,55,56,55,56,1500
3-Mar-14,58.5,58.5,58.5,58.5,500
4-Mar-14,61.42,61.42,61.42,61.42,500
7-Mar-14,58.5,58.5,58.5,58.5,500
10-Mar-14,61,61,61,61,500
11-Mar-14,63,64.05,63,64.05,1000
12-Mar-14,67,67,67,67,500
14-Mar-14,70.35,70.35,70,70.34,3000
17-Mar-14,66.88,73,66.85,66.85,9500
18-Mar-14,70,70.19,70,70.19,7000
19-Mar-14,73.68,73.69,73.68,73.69,2000
20-Mar-14,77.37,77.37,74,76.95,30500
21-Mar-14,73.5,74.5,73.5,74.25,3500
25-Mar-14,76,76.3,76,76.3,1500
27-Mar-14,75,75,75,75,500
