TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
15-Dec-08,19.35,18.35,18.35,18.35,500
30-Dec-08,18.35,17.35,17.35,17.35,1000
31-Dec-08,17.35,16.35,16.35,16.35,1000
1-Jan-09,16.35,15.35,15.35,15.35,500
2-Jan-09,15.35,16.34,14.35,14.48,136500
5-Jan-09,14.48,15.48,14.9,15.26,43000
6-Jan-09,15.26,15.5,14.76,14.9,10500
9-Jan-09,14.9,15.49,14,14.08,14000
12-Jan-09,14.08,14,13.08,13.12,7000
13-Jan-09,13.12,13.28,12.12,12.14,554000
14-Jan-09,12.14,12.45,11.3,12.2,3000
15-Jan-09,12.2,12.65,11.7,12.2,6000
16-Jan-09,12.2,11.55,11.2,11.49,8000
19-Jan-09,11.49,10.8,10.49,10.49,8500
20-Jan-09,10.49,11.49,9.5,10.99,31000
21-Jan-09,10.99,11.9,9.99,10,69000
22-Jan-09,10,9.8,9,9.1,69500
23-Jan-09,9.1,9.45,8.1,9.23,15000
26-Jan-09,9.23,9,8.23,8.25,37000
27-Jan-09,8.25,8.9,7.99,8.5,76500
28-Jan-09,8.5,9.25,8.3,8.78,51000
29-Jan-09,8.78,8.55,7.78,7.97,95000
30-Jan-09,7.97,8.5,7.8,8.42,37500
2-Feb-09,8.42,9.42,7.42,9.38,953500
3-Feb-09,9.38,10,8.6,9.1,211500
4-Feb-09,9.1,9.12,8.6,8.67,54500
6-Feb-09,8.67,9,8,8.09,164500
9-Feb-09,8.09,8,7.65,7.79,88000
10-Feb-09,7.79,7.94,7.6,7.63,8000
11-Feb-09,7.63,8.45,7.15,7.29,234000
12-Feb-09,7.29,7.74,7.05,7.09,105000
13-Feb-09,7.09,8,7.26,7.93,88500
16-Feb-09,7.93,8.44,7.7,7.88,536500
17-Feb-09,7.88,7.95,6.88,6.93,1395500
18-Feb-09,6.93,7.4,6.85,7.02,770000
19-Feb-09,7.02,8.02,7.06,8.02,1352500
20-Feb-09,8.02,9.02,8.6,9.02,765500
23-Feb-09,9.02,9.5,8.13,8.57,468500
24-Feb-09,8.57,8.75,8,8.04,210000
25-Feb-09,8.04,8.29,7.04,7.04,439500
26-Feb-09,7.04,7.4,6.6,7.38,348000
27-Feb-09,7.38,7.67,7.21,7.28,71500
2-Mar-09,7.28,7.49,6.86,7.2,131000
3-Mar-09,7.2,7.35,7,7.12,41000
4-Mar-09,7.12,8.12,7.3,8.12,232000
5-Mar-09,8.12,8.8,8.16,8.29,277000
6-Mar-09,8.29,9,8.15,8.33,346000
9-Mar-09,8.33,8.5,8.01,8.03,43500
11-Mar-09,8.03,8.4,7.7,7.88,32000
12-Mar-09,7.88,8.05,7.61,7.89,60500
13-Mar-09,7.89,8.4,7.86,8.14,42000
16-Mar-09,8.14,9.14,8.63,9.1,970500
17-Mar-09,9.1,9.35,8.75,8.87,308000
18-Mar-09,8.87,9.05,8.31,8.72,153500
19-Mar-09,8.72,9.2,8.7,8.74,153500
20-Mar-09,8.74,8.98,8.5,8.59,65500
24-Mar-09,8.59,9.59,8.65,9.59,437500
25-Mar-09,9.59,10.25,9.25,9.92,291500
26-Mar-09,9.92,10.44,9.26,9.57,459000
27-Mar-09,9.57,10.57,9.6,10.57,203500
30-Mar-09,10.57,11.57,11.57,11.57,18000
31-Mar-09,11.57,12.57,12.01,12.57,459000
1-Apr-09,12.57,13.57,12.99,13.56,1072500
2-Apr-09,13.56,14.56,13.55,14.56,1167500
3-Apr-09,14.56,15.4,14.25,14.78,755500
6-Apr-09,14.78,15.05,14.2,14.37,534500
