TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
15-Dec-08,57.77,54.89,54.89,54.89,100
16-Dec-08,54.89,52.15,52.15,52.15,0
17-Dec-08,52.15,49.55,49.55,49.55,0
18-Dec-08,49.55,47.08,47.08,47.08,0
19-Dec-08,47.08,44.73,44.73,44.73,0
22-Dec-08,44.73,42.5,42.5,42.5,500
23-Dec-08,42.5,40.38,40.38,40.38,100
24-Dec-08,40.38,38.37,38.37,38.37,100
26-Dec-08,38.37,36.46,36.46,36.46,11900
29-Dec-08,36.46,34.64,34.64,34.64,100
30-Dec-08,34.64,32.91,32.91,32.91,33500
31-Dec-08,32.91,31.27,31.27,31.27,12500
1-Jan-09,31.27,29.71,29.71,29.71,14300
2-Jan-09,29.71,31.19,28.23,31.06,2958200
5-Jan-09,31.06,32.61,30.01,32.61,2354300
6-Jan-09,32.61,34.24,33.25,34.24,1005200
9-Jan-09,34.24,35.95,34,35.87,1458200
12-Jan-09,35.87,37.43,34.08,34.08,512300
13-Jan-09,34.08,33.95,32.38,32.38,1260400
14-Jan-09,32.38,33.1,30.77,30.89,3203100
15-Jan-09,30.89,31.49,29.35,29.35,2305100
16-Jan-09,29.35,29.5,27.89,27.89,697900
19-Jan-09,27.89,26.89,26.5,26.5,277800
20-Jan-09,26.5,27.82,25.26,27.77,999400
21-Jan-09,27.77,28.69,26.51,26.72,703100
22-Jan-09,26.72,28.05,26.36,28,1289200
23-Jan-09,28,28.95,26.75,27,369300
26-Jan-09,27,27.5,26.6,27.16,484000
27-Jan-09,27.16,28.51,26.86,28.37,1373200
28-Jan-09,28.37,29.78,28.26,29.75,1414600
29-Jan-09,29.75,30,28.3,29.01,583400
30-Jan-09,29.01,30.46,28.7,30.46,2241000
2-Feb-09,30.46,31.97,29.85,31.34,2239100
3-Feb-09,31.34,32.9,30.2,32.49,1721000
4-Feb-09,32.49,33.85,32.1,33.39,1829100
6-Feb-09,33.39,34.6,32.61,33.99,1696100
9-Feb-09,33.99,34.2,32.3,32.32,945500
10-Feb-09,32.32,31.9,30.71,30.71,1138000
11-Feb-09,30.71,30.5,29.18,29.21,1454700
12-Feb-09,29.21,29.99,28.75,29.07,593900
13-Feb-09,29.07,30.52,29.01,30.52,1066300
16-Feb-09,30.52,32.04,30.49,32.04,2516300
17-Feb-09,32.04,33.64,33.26,33.64,2138400
18-Feb-09,33.64,35.32,34.81,35.32,1232300
19-Feb-09,35.32,37.08,36.31,37.08,3291400
20-Feb-09,37.08,38.66,35.23,35.71,3609100
23-Feb-09,35.71,37.49,33.93,37.46,3621900
24-Feb-09,37.46,38.89,36.5,36.94,4626000
25-Feb-09,36.94,37.88,35.1,35.1,1971100
26-Feb-09,35.1,36.6,33.35,36.23,2720800
27-Feb-09,36.23,37.19,36.11,36.56,796600
2-Mar-09,36.56,36.99,35.5,35.7,2031100
3-Mar-09,35.7,34.91,33.92,34.41,1480000
4-Mar-09,34.41,36.13,34.35,36.12,2432200
5-Mar-09,36.12,36.78,35.13,35.36,1958000
6-Mar-09,35.36,35.65,34.62,34.91,991400
9-Mar-09,34.91,35.29,34.5,34.92,385000
11-Mar-09,34.92,35.5,34,34.3,426900
12-Mar-09,34.3,35.89,34,35.37,2900000
13-Mar-09,35.37,36.24,34.81,35.8,2888100
16-Mar-09,35.8,37.59,37.59,37.59,290000
17-Mar-09,37.59,39.3,37,38.81,6623100
18-Mar-09,38.81,40.75,39,40.75,4659100
19-Mar-09,40.75,42.6,41,42.23,6375300
20-Mar-09,42.23,43.3,40.76,41.09,3582700
24-Mar-09,41.09,43.14,41.7,43.14,2133000
25-Mar-09,43.14,45.29,43.61,45.28,6609700
26-Mar-09,45.28,46.29,43.5,44.3,5869200
27-Mar-09,44.3,46.51,44.45,46.51,3409600
30-Mar-09,46.51,48.83,48.48,48.83,2032700
31-Mar-09,48.83,51.27,48.5,49.39,8483900
1-Apr-09,49.39,51.85,50.11,51.85,4453800
2-Apr-09,51.85,54.44,53.25,54.44,1545500
3-Apr-09,54.44,57.16,56.5,57.16,849500
6-Apr-09,57.16,60.01,58.6,60.01,2967900
7-Apr-09,60.01,63,58.76,60.34,11903100
8-Apr-09,60.34,60.3,57.33,57.33,5412100
9-Apr-09,57.33,59,54.47,54.9,7414200
10-Apr-09,54.9,57.64,53.65,57.64,6908400
13-Apr-09,57.64,60.52,58.64,60.51,5967800
14-Apr-09,60.51,62.75,57.49,58.88,13077500
15-Apr-09,58.88,60.25,56.26,58.17,9797600
16-Apr-09,58.17,59.99,55.27,55.27,9606500
17-Apr-09,55.27,57.25,52.51,54.83,7142500
20-Apr-09,54.83,57.57,54.51,56.04,8716300
21-Apr-09,56.04,58.84,56,58.84,12175100
22-Apr-09,58.84,61.78,57,60.8,12973500
23-Apr-09,60.8,63.25,57.76,57.81,12960300
24-Apr-09,57.81,60.7,57.21,60.7,6261100
27-Apr-09,60.7,61.2,57.67,57.68,8172600
28-Apr-09,57.68,58.99,56.01,58.16,3999600
29-Apr-09,58.16,59,55.26,55.68,2385100
30-Apr-09,55.68,56.49,54.2,55.01,1667600
4-May-09,55.01,57.75,54,54.81,1792400
5-May-09,54.81,56.39,54.45,55.35,3236600
6-May-09,55.35,58.11,55.5,57.85,5550200
7-May-09,57.85,58.75,55.6,55.93,3671400
8-May-09,55.93,56.42,54.05,54.6,4264800
11-May-09,54.6,55.75,54,54.91,7283400
12-May-09,54.91,57.65,55.1,57.65,8537000
13-May-09,57.65,60.53,57.11,57.79,12395100
14-May-09,57.79,58.33,54.91,55.16,4429500
15-May-09,55.16,56.2,54.55,55.77,3559200
18-May-09,55.77,56.9,55.6,56.4,6289300
19-May-09,56.4,56.85,54.4,54.81,3085700
20-May-09,54.81,55.28,53.21,54.57,4404300
21-May-09,54.57,54.7,51.85,53.37,4507800
