TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
3-Jan-00,3.4,3.65,3.35,3.6,19000
4-Jan-00,3.6,3.9,3.55,3.6,145500
6-Jan-00,3.6,3.85,3.65,3.75,32000
12-Jan-00,3.75,4.15,3.8,3.9,126000
13-Jan-00,3.9,4.25,3.9,4.05,121500
14-Jan-00,4.05,5.25,4.1,5.1,800000
17-Jan-00,5.1,5.65,4.75,5,949000
18-Jan-00,5,5.25,4.5,4.6,281000
19-Jan-00,4.6,5.35,4.55,5.2,621000
20-Jan-00,5.2,6.4,5.2,5.8,2065100
21-Jan-00,5.8,6.85,6,6.5,1312000
24-Jan-00,6.5,8,6.15,7.15,2909500
25-Jan-00,7.15,7.75,6.2,6.85,1084000
26-Jan-00,6.85,7,6.1,6.6,341000
27-Jan-00,6.6,7.3,6.7,6.7,382000
28-Jan-00,6.7,6.95,6.5,6.7,287500
31-Jan-00,6.7,7.1,6.8,6.8,240000
1-Feb-00,6.8,6.95,6.5,6.75,247500
2-Feb-00,6.75,6.75,6.6,6.7,92000
3-Feb-00,6.7,6.9,6.5,6.55,128000
4-Feb-00,6.55,6.6,6,6.3,92000
7-Feb-00,6.3,6.5,6.15,6.2,66000
8-Feb-00,6.2,6.4,6.2,6.2,35500
9-Feb-00,6.2,6.2,5.95,6.1,59500
10-Feb-00,6.1,7.4,6.15,7.05,1433000
11-Feb-00,7.05,7.95,6.75,6.75,1073500
14-Feb-00,6.75,7.3,7,7.1,195500
15-Feb-00,7.1,7.4,6.95,7.05,271000
16-Feb-00,7.05,7.05,6.3,6.3,333000
17-Feb-00,6.3,6.8,6.4,6.6,111000
18-Feb-00,6.6,6.7,6.2,6.4,169000
21-Feb-00,6.4,6.9,6.25,6.45,269500
22-Feb-00,6.45,6.9,6.2,6.7,210500
23-Feb-00,6.7,6.95,6.5,6.95,172500
24-Feb-00,6.95,7,6.5,6.9,220000
25-Feb-00,6.9,7,6.6,6.75,194500
28-Feb-00,6.75,6.75,6.35,6.65,152500
29-Feb-00,6.65,6.8,6.45,6.6,143500
1-Mar-00,6.6,6.65,6,6,203000
2-Mar-00,6,6.2,5.8,6.1,94500
3-Mar-00,6.1,6.25,6,6,52500
6-Mar-00,6,6.25,6.05,6.05,32000
7-Mar-00,6.05,6.15,5.9,6,44000
8-Mar-00,6,6.25,6.2,6.2,13500
9-Mar-00,6.2,5.8,5.6,5.8,10000
10-Mar-00,5.8,5.95,5.6,5.75,33000
13-Mar-00,5.75,5.8,5.7,5.75,29500
14-Mar-00,5.75,5.95,5.75,5.95,10500
15-Mar-00,5.95,6.05,5.9,5.9,48500
16-Mar-00,5.9,6.25,6,6.2,87500
20-Mar-00,6.2,6.7,6.2,6.5,116500
21-Mar-00,6.5,7,6.2,6.65,260000
22-Mar-00,6.65,7.6,6.35,7.2,1230000
24-Mar-00,7.2,7.35,6.6,6.6,218000
27-Mar-00,6.6,7.1,6.2,6.8,539500
28-Mar-00,6.8,7.3,6.8,7,619000
29-Mar-00,7,8.4,7.15,7.65,2778500
30-Mar-00,7.65,7.85,7.4,7.5,405000
