TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2-May-19,27.04,27.65,26.3,26.79,2598000
3-May-19,26.51,26.83,25.46,25.57,1784000
6-May-19,25.75,25.85,24.35,24.72,1403000
7-May-19,24.5,24.94,23.81,24.02,1848500
8-May-19,24.39,24.39,22.82,22.92,2648500
9-May-19,23.05,24.06,22.57,24.05,2420000
10-May-19,24,24.15,23.4,23.61,376000
13-May-19,24.35,24.45,22.43,22.43,1355000
14-May-19,22.35,22.35,21.31,21.31,3188500
15-May-19,21.11,22.2,20.61,20.96,3492500
16-May-19,21.1,21.2,19.92,19.92,1576000
17-May-19,19.75,19.75,18.92,18.92,514000
20-May-19,18.8,19.92,17.92,19.88,4875500
21-May-19,19.55,20.88,19.33,20.88,3784500
22-May-19,21.48,21.92,21.3,21.92,2082000
23-May-19,21.93,23.01,21.93,23.01,3771000
24-May-19,23.38,24.16,23.15,24.13,3494000
27-May-19,24.35,25.1,23.8,24.57,3661500
28-May-19,24,24.04,23.35,23.35,2459000
29-May-19,23.98,24.51,23.8,24.51,3621500
30-May-19,25,25.4,23.29,23.76,7018000
3-Jun-19,23.5,24.25,22.65,22.78,2073500
10-Jun-19,21.81,22,21.65,21.65,679500
11-Jun-19,20.81,22.2,20.58,21.97,3508000
12-Jun-19,21.5,23.06,21.5,22.84,3093500
13-Jun-19,22.85,23.98,22.65,23.86,3373500
14-Jun-19,23.81,25.05,23.8,25.02,5285000
17-Jun-19,25.3,26.15,24.9,25.15,3087000
18-Jun-19,24.7,25.48,23.9,24.01,3488500
19-Jun-19,23.6,24.7,23.6,23.89,1902000
20-Jun-19,24,25.08,23.99,25.08,3348500
21-Jun-19,25.49,25.65,24.75,25.15,3157000
24-Jun-19,25,25,23.9,23.9,1032500
25-Jun-19,23.15,23.65,22.71,23.4,3260000
26-Jun-19,23.5,23.7,22.36,22.76,853000
27-Jun-19,22.87,23.2,21.91,22.24,640000
28-Jun-19,21.9,23.09,21.7,22.65,1203500
1-Jul-19,22.45,22.95,22.21,22.46,254500
2-Jul-19,22.25,23.29,22.25,23.04,599000
3-Jul-19,23.05,24.19,23.05,24.19,1541500
4-Jul-19,24.8,24.8,23,23.16,1730000
5-Jul-19,22.98,23.4,22.53,22.74,439000
8-Jul-19,22.81,23,21.9,22.06,432000
9-Jul-19,22,22.8,21.6,21.98,563000
10-Jul-19,22.05,22.7,21.56,22.44,684000
11-Jul-19,22.65,23,22.21,22.55,684500
12-Jul-19,22.5,22.54,21.5,21.6,629000
15-Jul-19,21.11,21.3,20.52,20.52,1395500
16-Jul-19,20.25,21.28,19.86,21.14,1513500
17-Jul-19,21.35,22.19,20.9,21.44,2507000
18-Jul-19,21.64,21.79,20.37,20.42,953000
19-Jul-19,20,21.29,19.57,20.91,1242500
22-Jul-19,21.45,21.45,20.5,20.8,398000
23-Jul-19,21.2,21.6,20.28,21.43,1853500
24-Jul-19,20.75,21.58,20.5,20.76,1115000
25-Jul-19,20.7,20.7,19.85,20.2,672500
26-Jul-19,20.45,20.45,19.19,19.19,444500
29-Jul-19,19,19.01,18.19,18.19,438500
30-Jul-19,17.52,18.45,17.46,17.72,756500
31-Jul-19,17.7,18.44,17.26,18.16,433500
1-Aug-19,18.1,19.04,17.9,18.39,1657000
2-Aug-19,18.21,18.57,17.85,18.28,308000
5-Aug-19,18.28,18.28,17.5,17.67,424000
6-Aug-19,17.4,18.24,17.4,17.81,293000
7-Aug-19,17.55,18.18,17.3,17.56,387000
8-Aug-19,17.21,17.9,17.2,17.37,749500
9-Aug-19,17.55,18.02,17.51,17.81,582500
16-Aug-19,17.5,17.7,17.4,17.51,201000
19-Aug-19,17.5,18.47,17.5,18.29,1018000
20-Aug-19,18.4,18.93,18.06,18.59,1110000
21-Aug-19,18.5,19.59,18.35,19.53,928000
22-Aug-19,19.6,20.53,19.6,20.53,1609000
23-Aug-19,21,21.55,20.1,21.55,3594500
26-Aug-19,21.6,22.15,20.6,20.92,1074500
27-Aug-19,20.75,21.96,20.4,21.92,881500
28-Aug-19,21.95,22.66,21.51,22,1185000
29-Aug-19,21.52,22.24,21.15,21.28,756000
30-Aug-19,21,21.6,20.56,20.89,700500
2-Sep-19,21.75,21.85,21.25,21.5,324000
3-Sep-19,21.26,21.8,20.5,20.96,800500
4-Sep-19,21.3,22,20.51,21.99,1945000
5-Sep-19,22,22.78,21.65,21.81,1596500
6-Sep-19,21.52,22.35,21.25,22.14,754500
11-Sep-19,22.1,22.39,21.04,21.22,730500
12-Sep-19,21.4,22.28,20.9,22.2,3398000
13-Sep-19,22.49,22.6,21.7,21.78,1321500
16-Sep-19,21.98,21.98,21.21,21.45,453500
17-Sep-19,21.02,21.75,20.7,21.26,2215000
18-Sep-19,21.05,21.6,20.75,20.81,442500
19-Sep-19,20.6,21.3,20.6,20.89,635500
20-Sep-19,20.9,21,19.85,19.89,1280500
23-Sep-19,19.9,20.18,18.89,18.91,1272500
24-Sep-19,18.75,19.24,18.12,18.74,624500
25-Sep-19,18.98,19.25,18.5,18.54,430500
26-Sep-19,18.5,18.94,18.21,18.82,885000
27-Sep-19,19,19.8,18.62,19.53,1369500
30-Sep-19,19.89,20.2,19,19.13,520500
1-Oct-19,18.81,20.13,18.81,20.13,1619500
2-Oct-19,20.14,21.13,20,21.13,2243000
