TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
12-Oct-01,8,8.45,8,8,1000
15-Oct-01,8,10,8.5,10,2500
31-Oct-01,10,9.5,9.5,9.5,500
1-Nov-01,9.5,9.05,9.05,9.05,500
2-Nov-01,9.05,8.6,8.6,8.6,500
5-Nov-01,8.6,8.2,8.2,8.2,500
6-Nov-01,8.2,7.8,7.8,7.8,500
7-Nov-01,7.8,7.45,7.45,7.45,500
12-Nov-01,7.45,7.6,7.55,7.6,1500
21-Nov-01,7.6,8.15,8.15,8.15,5000
24-Nov-01,8.15,8.5,8.2,8.5,4500
26-Nov-01,8.5,8.7,8.65,8.7,2000
27-Nov-01,8.7,8.5,8.5,8.5,1000
28-Nov-01,8.5,8.6,8.5,8.6,4000
29-Nov-01,8.6,8.2,8.2,8.2,2500
1-Dec-01,8.2,8.85,8.8,8.85,2000
3-Dec-01,8.85,8.05,8,8,5500
5-Dec-01,8,8.2,8.2,8.2,1500
6-Dec-01,8.2,8.4,8.4,8.4,1000
8-Dec-01,8.4,8.5,8.5,8.5,1000
10-Dec-01,8.5,8.5,8.4,8.5,3000
20-Dec-01,8.5,10,9.5,10,1000
21-Dec-01,10,9.9,9.9,9.9,500
24-Dec-01,9.9,8.45,8.45,8.45,500
26-Dec-01,8.45,7.25,7.25,7.25,500
31-Dec-01,7.25,7.25,7.25,7.25,500
2-Jan-02,7.25,8.75,8.5,8.75,2000
3-Jan-02,8.75,8.2,8.2,8.2,2000
7-Jan-02,8.2,8.75,8.3,8.3,3500
8-Jan-02,8.3,8.9,8.7,8.9,1500
9-Jan-02,8.9,10.35,9,10,19000
10-Jan-02,10,10.25,9.25,9.25,2500
14-Jan-02,9.25,10,9.25,10,2000
15-Jan-02,10,10.75,10.75,10.75,500
16-Jan-02,10.75,9.95,9.95,9.95,500
17-Jan-02,9.95,10.5,9.95,10.4,18000
18-Jan-02,10.4,10.95,10.25,10.9,21500
21-Jan-02,10.9,12.25,10.6,10.7,8000
22-Jan-02,10.7,11.55,10.75,11.4,19000
23-Jan-02,11.4,11.25,11.25,11.25,1000
24-Jan-02,11.25,11.7,11.25,11.5,10500
25-Jan-02,11.5,12,11.4,11.4,1000
28-Jan-02,11.4,11.5,11.4,11.5,7500
29-Jan-02,11.5,11.85,11,11.85,6000
30-Jan-02,11.85,13.25,11.75,11.75,13000
31-Jan-02,11.75,12.75,12,12.1,4000
1-Feb-02,12.1,12.75,12.7,12.75,5500
4-Feb-02,12.75,13,11.5,11.5,2000
6-Feb-02,11.5,11,11,11,6000
7-Feb-02,11,11,11,11,500
19-Feb-02,11,10.2,10.2,10.2,500
20-Feb-02,10.2,9.6,9.2,9.2,6000
21-Feb-02,9.2,10,9.05,10,2000
26-Feb-02,10,9.5,9.5,9.5,500
27-Feb-02,9.5,9.55,9.5,9.55,11500
1-Mar-02,9.55,10.3,10.3,10.3,2000
4-Mar-02,10.3,10.5,10,10,1000
5-Mar-02,10,10,10,10,7000
6-Mar-02,10,10.2,10.2,10.2,5000
7-Mar-02,10.2,11.7,10.25,10.25,2000
8-Mar-02,10.25,10.5,10.25,10.4,13000
11-Mar-02,10.4,10.4,10.4,10.4,500
12-Mar-02,10.4,10.85,10.6,10.85,6500
13-Mar-02,10.85,10.85,10.85,10.85,5000
14-Mar-02,10.85,10.85,10.25,10.25,5500
15-Mar-02,10.25,10.5,10.5,10.5,5000
21-Mar-02,10.5,10.25,10.25,10.25,5000
22-Mar-02,10.25,10.4,10.4,10.4,4000
26-Mar-02,10.4,10,10,10,3000
27-Mar-02,10,10,10,10,5000
1-Apr-02,10,9.75,9.75,9.75,500
3-Apr-02,9.75,9.6,9.6,9.6,1000
4-Apr-02,9.6,9.8,9.8,9.8,1000
8-Apr-02,9.8,9.45,9.25,9.25,8500
9-Apr-02,9.25,9.5,9.25,9.4,9000
10-Apr-02,9.4,9.75,9.25,9.25,6500
11-Apr-02,9.25,9.3,9.25,9.25,7500
