TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
18-Mar-10,10,14.49,11.8,12.14,5888641
19-Mar-10,12.14,12.28,11.14,12.05,2174003
22-Mar-10,12.05,12.01,11.51,11.57,134611
24-Mar-10,11.57,12.57,11.31,12.56,1074617
25-Mar-10,12.56,12.84,12.41,12.61,580989
26-Mar-10,12.61,12.8,12.4,12.6,278648
29-Mar-10,12.6,12.78,12.47,12.64,212905
30-Mar-10,12.64,12.85,12.35,12.43,125207
31-Mar-10,12.43,12.6,12.42,12.5,138244
1-Apr-10,12.5,12.6,12.5,12.5,151954
2-Apr-10,12.5,12.8,12.55,12.75,519044
5-Apr-10,12.75,13.1,12.7,13,572683
6-Apr-10,13,13.19,12.72,12.77,629060
7-Apr-10,12.77,13.13,12.41,13.03,1250491
8-Apr-10,13.03,13.24,12.81,12.82,1139077
9-Apr-10,12.82,13.1,12.66,12.76,651035
12-Apr-10,12.76,13.18,12.5,12.5,47287
13-Apr-10,12.5,13,12.1,12.17,28579
14-Apr-10,12.17,12.49,12.21,12.4,3075
15-Apr-10,12.4,12.6,12.3,12.3,52211
16-Apr-10,12.3,12.39,11.55,11.88,3501
19-Apr-10,11.88,12.19,12,12.04,18000
20-Apr-10,12.04,12.6,11.89,11.9,12511
21-Apr-10,11.9,11.9,11.26,11.73,6025
22-Apr-10,11.73,11.99,11.35,11.5,23850
23-Apr-10,11.5,11.63,11.4,11.5,102001
26-Apr-10,11.5,11.63,11.25,11.44,51877
27-Apr-10,11.44,11.98,11.25,11.39,27939
28-Apr-10,11.39,11.9,10.5,10.76,49863
29-Apr-10,10.76,11.44,10.1,10.14,82125
30-Apr-10,10.14,10.38,9.76,9.99,38301
3-May-10,9.99,10.25,10,10.05,79301
4-May-10,10.05,10.75,10,10.3,7604
5-May-10,10.3,11,10.5,10.5,73612
6-May-10,10.5,11.07,10.75,11.02,51802
7-May-10,11.02,11.15,10.99,11.01,100002
10-May-10,11.01,11.12,11,11.1,32801
11-May-10,11.1,12.1,10.5,11,49801
12-May-10,11,10.9,10.05,10.9,5045
13-May-10,10.9,11,11,11,4944
14-May-10,11,11.34,10.5,11.01,28450
17-May-10,11.01,11.45,10.25,10.37,11004
18-May-10,10.37,10.9,9.41,10.11,25321
19-May-10,10.11,10.47,9.55,10.25,46846
20-May-10,10.25,10.6,10,10.24,20812
21-May-10,10.24,10.49,10,10,42427
24-May-10,10,9.99,9.5,9.5,1001
25-May-10,9.5,9.32,8.57,8.57,2910
26-May-10,8.57,9.49,8.75,9.3,6096
27-May-10,9.3,8.9,8.3,8.47,60521
28-May-10,8.47,9.05,8,8.7,74908
31-May-10,8.7,8.7,8,8.25,26996
1-Jun-10,8.25,8.99,7.55,8.05,16253
2-Jun-10,8.05,8.5,8.39,8.48,6199
3-Jun-10,8.48,9,8.6,8.85,27943
4-Jun-10,8.85,8.96,8.65,8.65,1521
7-Jun-10,8.65,9.49,8.9,9.23,15474
8-Jun-10,9.23,9,9,9,6372
9-Jun-10,9,9.9,8.65,8.75,7503
10-Jun-10,8.75,8.95,8.25,8.74,5706
11-Jun-10,8.74,9.74,8.11,8.69,1003
14-Jun-10,8.69,8.09,7.69,7.69,24961
15-Jun-10,7.69,8.2,7.68,7.68,2602
16-Jun-10,7.68,8.35,7.7,8.35,14502
17-Jun-10,8.35,8.49,8,8,10310
18-Jun-10,8,8.19,8,8,5501
21-Jun-10,8,7.95,7.3,7.94,1575
22-Jun-10,7.94,8,7.31,7.47,4500
23-Jun-10,7.47,8.01,7.06,7.14,503
24-Jun-10,7.14,7.98,7.1,7.43,3161
25-Jun-10,7.43,7.88,6.6,7.25,6466
28-Jun-10,7.25,7.49,6.71,6.81,9650
29-Jun-10,6.81,6.99,6.8,6.92,1527
30-Jun-10,6.92,7.48,7.45,7.45,2046
1-Jul-10,7.45,7.45,7.45,7.45,1
2-Jul-10,7.45,7.65,6.83,7.24,3
5-Jul-10,7.24,7.98,6.6,6.78,8036
6-Jul-10,6.78,7.69,6.8,6.98,4461
7-Jul-10,6.98,7.4,6.8,7.39,4
8-Jul-10,7.39,7.65,7.1,7.11,2279
9-Jul-10,7.11,7.67,7.12,7.6,4
13-Jul-10,7.6,8,7.75,7.75,2036
14-Jul-10,7.75,8.1,7.31,7.94,5
15-Jul-10,7.94,8.1,7.5,7.5,1535
16-Jul-10,7.5,7.98,7.98,7.98,6
19-Jul-10,7.98,7.88,7.31,7.31,1050
20-Jul-10,7.31,7.35,7.35,7.35,1
21-Jul-10,7.35,7.75,7.1,7.15,8818
22-Jul-10,7.15,7.5,7.49,7.49,1
23-Jul-10,7.49,7.5,7,7.5,3502
26-Jul-10,7.5,7.4,6.63,6.76,3050
27-Jul-10,6.76,7.53,7.53,7.53,2001
28-Jul-10,7.53,7.59,7.59,7.59,11
29-Jul-10,7.59,7.44,7.44,7.44,0
30-Jul-10,7.44,7.85,7.69,7.69,2
2-Aug-10,7.69,7.99,7.48,7.48,2
3-Aug-10,7.48,7.5,7.48,7.48,3
4-Aug-10,7.48,7.45,7.43,7.43,2003
5-Aug-10,7.43,7.49,7.49,7.49,1
6-Aug-10,7.49,7.5,7.5,7.5,1000
9-Aug-10,7.5,7.46,6.5,7.23,301
10-Aug-10,7.23,6.75,6.25,6.27,5350
11-Aug-10,6.27,7.05,6.99,6.99,301
12-Aug-10,6.99,6.95,6.95,6.95,0
13-Aug-10,6.95,7.43,6,6.63,1005
17-Aug-10,6.63,6.95,5.63,6,505
18-Aug-10,6,6.95,6.95,6.95,15
19-Aug-10,6.95,6.84,6.84,6.84,0
20-Aug-10,6.84,7.16,7.1,7.1,2
23-Aug-10,7.1,7.49,6.9,6.99,2012
24-Aug-10,6.99,7.49,6.11,6.13,147
25-Aug-10,6.13,6.85,6.85,6.85,5
26-Aug-10,6.85,7.08,6.98,6.98,5
27-Aug-10,6.98,7.18,6.99,6.99,1
30-Aug-10,6.99,5.99,5.99,5.99,5000
31-Aug-10,5.99,6.99,5.51,6.46,16
1-Sep-10,6.46,7.18,5.5,6.12,26
2-Sep-10,6.12,7,6.78,6.78,5
3-Sep-10,6.78,7.69,6.25,6.69,4169
6-Sep-10,6.69,7.6,6,6.84,515
7-Sep-10,6.84,7.82,6.8,6.83,1997
8-Sep-10,6.83,7.83,6.84,7.45,19208
9-Sep-10,7.45,8,7,7.94,2005
14-Sep-10,7.94,8.3,7.52,8.12,2296
15-Sep-10,8.12,8.48,8.47,8.48,5010
16-Sep-10,8.48,9.47,7.51,7.95,9010
17-Sep-10,7.95,7.51,7.06,7.18,17976
20-Sep-10,7.18,7.9,7.85,7.85,1
21-Sep-10,7.85,8.35,6.9,7.4,7507
22-Sep-10,7.4,7.5,6.57,7.45,20
23-Sep-10,7.45,7.39,7.39,7.39,1
24-Sep-10,7.39,7.44,6.39,7.06,4017
27-Sep-10,7.06,7.9,6.1,6.4,2506
28-Sep-10,6.4,7.38,6,6.66,2515
29-Sep-10,6.66,7.35,6,6,5015
30-Sep-10,6,6.48,5.71,6.4,4
1-Oct-10,6.4,6.48,6.2,6.34,8640
4-Oct-10,6.34,6.45,6.01,6.08,1501
5-Oct-10,6.08,6.5,6,6,309
6-Oct-10,6,6.79,6.79,6.79,1
7-Oct-10,6.79,6.98,6.88,6.88,1
8-Oct-10,6.88,7.25,6.48,6.51,1060
11-Oct-10,6.51,6.85,6.1,6.12,1505
12-Oct-10,6.12,6.95,6.11,6.11,6
13-Oct-10,6.11,6.9,6.9,6.9,10
14-Oct-10,6.9,6.89,6.5,6.53,97
15-Oct-10,6.53,6.8,6.1,6.2,23
18-Oct-10,6.2,6.99,6.35,6.4,32
19-Oct-10,6.4,7,6.05,6.8,12
20-Oct-10,6.8,7.48,6.02,6.05,3013
21-Oct-10,6.05,6.87,6.11,6.3,1515
22-Oct-10,6.3,7.25,6.05,6.89,25
25-Oct-10,6.89,7,6.61,6.62,511
26-Oct-10,6.62,6.94,6.15,6.15,116
27-Oct-10,6.15,6.94,6.27,6.55,9
28-Oct-10,6.55,7.49,5.9,6.1,153116
29-Oct-10,6.1,6.3,6.05,6.15,7001
1-Nov-10,6.15,6.48,5.72,6.02,1038
2-Nov-10,6.02,6.45,6,6,3114
3-Nov-10,6,6.44,6,6,3113
4-Nov-10,6,6.2,5.85,6.03,621
5-Nov-10,6.03,6.43,5.75,6.09,1256
8-Nov-10,6.09,6.46,5.81,6.01,3052
10-Nov-10,6.01,6.37,5.82,6.09,1442
11-Nov-10,6.09,6.6,5.25,5.61,12112
12-Nov-10,5.61,6.5,5.6,5.61,1507
15-Nov-10,5.61,5.9,5.5,5.89,37
16-Nov-10,5.89,5.99,5.5,5.52,583
22-Nov-10,5.52,5.9,5.5,5.9,5004
23-Nov-10,5.9,5.98,5.52,5.88,2906
24-Nov-10,5.88,6,5.75,5.9,25610
25-Nov-10,5.9,5.99,5.5,5.5,3011
26-Nov-10,5.5,5.99,5.3,5.94,2073
29-Nov-10,5.94,5.95,5.95,5.95,1
30-Nov-10,5.95,5.94,5.89,5.89,2
1-Dec-10,5.89,6,5.65,5.97,18671
2-Dec-10,5.97,5.89,5.75,5.81,5105
3-Dec-10,5.81,5.99,5.99,5.99,1
6-Dec-10,5.99,6.2,5.99,6.06,3848
7-Dec-10,6.06,6.25,6.25,6.25,3
8-Dec-10,6.25,6.39,5.52,6.19,49
9-Dec-10,6.19,6.15,5.9,6.08,32986
10-Dec-10,6.08,6.29,6,6,2385
13-Dec-10,6,6.18,6.18,6.18,239
14-Dec-10,6.18,6,5.9,5.9,500
15-Dec-10,5.9,6.17,6.17,6.17,11
20-Dec-10,6.17,6.35,6,6.16,124
21-Dec-10,6.16,6.48,6,6.25,111
22-Dec-10,6.25,6.42,6.11,6.26,493
23-Dec-10,6.26,6.35,6,6.35,12105
24-Dec-10,6.35,6.35,6.35,6.35,5
27-Dec-10,6.35,6.37,5.75,6.18,512
28-Dec-10,6.18,6.5,6.25,6.41,2154
29-Dec-10,6.41,6.79,6,6.52,4257
30-Dec-10,6.52,7,6.35,6.74,5007
31-Dec-10,6.74,7.5,6.15,7.3,33904
3-Jan-11,7.3,7.33,6.4,7.25,4099
4-Jan-11,7.25,7.15,7.15,7.15,10
5-Jan-11,7.15,7.19,7,7,35745
6-Jan-11,7,7.2,7,7.2,505
7-Jan-11,7.2,7.13,6.99,7,311
10-Jan-11,7,6.5,6.5,6.5,500
11-Jan-11,6.5,7,6.99,7,16400
12-Jan-11,7,7.2,7,7,3349
13-Jan-11,7,7,6.5,7,515
14-Jan-11,7,7.94,6.5,7.06,329
17-Jan-11,7.06,7.06,7.06,7.06,10011
18-Jan-11,7.06,7.95,6.98,6.98,6
19-Jan-11,6.98,6.99,6.55,6.99,2111
20-Jan-11,6.99,7.3,6.03,6.9,2009
21-Jan-11,6.9,6.99,6.06,6.88,1191
24-Jan-11,6.88,6.98,6.51,6.55,1062
25-Jan-11,6.55,7.3,6.15,7.11,9390
26-Jan-11,7.11,7.4,6.5,7.4,58102
27-Jan-11,7.4,7.25,7,7.25,1205
28-Jan-11,7.25,7.43,7.43,7.43,5
31-Jan-11,7.43,7.45,7.45,7.45,1
1-Feb-11,7.45,7.3,7.3,7.3,0
2-Feb-11,7.3,7.25,7,7,90
3-Feb-11,7,6.99,6.25,6.5,1501
4-Feb-11,6.5,7.5,6.2,6.81,48
7-Feb-11,6.81,6.94,6.5,6.94,2032
8-Feb-11,6.94,6.94,6.94,6.94,500
9-Feb-11,6.94,7.23,6.5,7,6791
10-Feb-11,7,7,6.51,7,37200
11-Feb-11,7,6.9,6.5,6.5,2505
14-Feb-11,6.5,6.9,6.21,6.24,2008
15-Feb-11,6.24,7.2,6.2,6.8,5512
17-Feb-11,6.8,7,6.5,6.53,529
18-Feb-11,6.53,6.95,6.5,6.54,550
21-Feb-11,6.54,7.19,7.19,6.54,11
22-Feb-11,6.54,7,6.12,6.5,8113
23-Feb-11,6.5,6.5,6.5,6.5,50000
25-Feb-11,6.5,6.9,5.81,6.5,15
28-Feb-11,6.5,6.96,6.96,6.5,1
2-Mar-11,6.5,6.49,6,6,2902
3-Mar-11,6,6,6,6,495
4-Mar-11,6,6.85,6,6.71,601
7-Mar-11,6.71,6.49,5.81,6.41,1004
8-Mar-11,6.41,7.25,6,6.41,202
9-Mar-11,6.41,6.5,6.4,6.5,5001
10-Mar-11,6.5,6.45,6.45,6.5,1
11-Mar-11,6.5,6,5.5,5.55,4002
14-Mar-11,5.55,5.98,5.56,5.55,4
15-Mar-11,5.55,5.77,5.21,5.21,5516
16-Mar-11,5.21,5.83,5.83,5.21,1
17-Mar-11,5.21,5.99,5.99,5.21,100
18-Mar-11,5.21,5.88,5.5,5.21,111
21-Mar-11,5.21,5.4,5.4,5.21,412
22-Mar-11,5.21,5.39,4.61,5.36,709
24-Mar-11,5.36,5.2,5.2,5.36,1
25-Mar-11,5.36,5.93,4.41,5.36,6
28-Mar-11,5.36,6.35,6.35,5.36,1
29-Mar-11,5.36,5.66,5.01,5.02,1523
30-Mar-11,5.02,5.84,5.01,5.02,7
31-Mar-11,5.02,5.41,5.4,5.4,1001
1-Apr-11,5.4,5.93,5.01,5.02,505
4-Apr-11,5.02,5.49,5,5,1988
5-Apr-11,5,5.49,5,5,2002
6-Apr-11,5,5.73,4.42,5.1,1006
