TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2-Jan-09,16,15,15,15,500
5-Jan-09,15,14,14,14,500
6-Jan-09,14,13,13,13,2000
9-Jan-09,13,13.9,12,12.16,28000
12-Jan-09,12.16,12.5,11.16,11.69,11500
13-Jan-09,11.69,10.7,10.7,10.7,2000
14-Jan-09,10.7,10,9.7,9.77,14500
15-Jan-09,9.77,9,8.77,8.77,3000
16-Jan-09,8.77,8.21,8.2,8.21,3000
19-Jan-09,8.21,8.5,8.2,8.37,20000
20-Jan-09,8.37,8.4,8.37,8.4,2000
21-Jan-09,8.4,8.51,8,8.07,12000
22-Jan-09,8.07,7.99,7.07,7.1,5000
23-Jan-09,7.1,7,6.15,7,1000
26-Jan-09,7,8,7,8,10500
27-Jan-09,8,9,7.25,8.96,26500
28-Jan-09,8.96,9.9,9,9.64,19000
29-Jan-09,9.64,10.64,8.67,9.75,83000
30-Jan-09,9.75,10.75,9.5,10.75,242000
2-Feb-09,10.75,11.75,10.5,11.69,22500
3-Feb-09,11.69,12.69,11.25,12.66,140000
4-Feb-09,12.66,13.66,12.75,13.64,2086500
6-Feb-09,13.64,14.49,13.6,13.92,8000
9-Feb-09,13.92,14.03,14,14,59500
10-Feb-09,14,14.99,13.11,14,69000
11-Feb-09,14,14.02,14,14,25500
12-Feb-09,14,14.05,14,14,23000
13-Feb-09,14,14.1,14,14.02,4000
16-Feb-09,14.02,15.02,14.5,15.02,13000
17-Feb-09,15.02,16.02,15,16.02,16500
18-Feb-09,16.02,17.02,16,16.46,21000
19-Feb-09,16.46,17,16,16.5,4500
20-Feb-09,16.5,17,16,16.48,16000
23-Feb-09,16.48,16.49,15.6,16.19,14500
24-Feb-09,16.19,16.45,16.19,16.19,4500
25-Feb-09,16.19,17,15.75,16.24,10000
26-Feb-09,16.24,16.5,15.25,16.27,10500
27-Feb-09,16.27,15.99,15.28,15.64,1000
2-Mar-09,15.64,14.65,14.64,14.64,2500
3-Mar-09,14.64,14,13.64,14,5500
4-Mar-09,14,15,14,14.51,5000
5-Mar-09,14.51,15.4,14.51,15.24,3000
6-Mar-09,15.24,15.25,14.24,15.13,10500
9-Mar-09,15.13,15.19,14.16,14.5,1500
11-Mar-09,14.5,15.07,14.01,14.54,1000
12-Mar-09,14.54,14.1,13.55,13.77,933000
13-Mar-09,13.77,14.77,14.05,14.25,3761000
16-Mar-09,14.25,15.25,15,15,8500
17-Mar-09,15,16,14.05,16,33000
18-Mar-09,16,17,16.25,17,17500
19-Mar-09,17,18,18,18,9500
20-Mar-09,18,19,18.25,18.74,13500
24-Mar-09,18.74,19.74,19.5,19.74,7000
25-Mar-09,19.74,20.74,20.74,20.74,5500
26-Mar-09,20.74,21.77,21.76,21.77,10500
27-Mar-09,21.77,22.85,22.85,22.85,4000
30-Mar-09,22.85,23.99,23.99,23.99,21000
31-Mar-09,23.99,25.18,24,24.46,49000
1-Apr-09,24.46,25.68,23.27,24,16500
2-Apr-09,24,23.4,22.8,22.93,14000
3-Apr-09,22.93,23.37,21.79,21.79,8000
6-Apr-09,21.79,21.9,20.71,20.95,8000
7-Apr-09,20.95,21.5,19.91,21.44,23500
8-Apr-09,21.44,20.45,20.37,20.37,2500
9-Apr-09,20.37,21.38,19.36,20.49,9000
10-Apr-09,20.49,21.51,19.5,20.96,22000
13-Apr-09,20.96,22,20,21.89,33000
14-Apr-09,21.89,21,20.8,20.83,6000
15-Apr-09,20.83,21,19.79,19.8,2500
16-Apr-09,19.8,19.1,18.8,18.87,5500
17-Apr-09,18.87,19,17.87,19,1500
20-Apr-09,19,19,19,19,1000
21-Apr-09,19,19,18,18,2500
22-Apr-09,18,19,17,18.33,1500
23-Apr-09,18.33,18.15,18.15,18.15,0
27-Apr-09,18.15,17.2,17.2,17.2,500
29-Apr-09,17.2,16.5,16.21,16.21,2000
30-Apr-09,16.21,17.2,15.21,15.21,167500
5-May-09,15.21,16,15.95,15.95,500
6-May-09,15.95,15.5,15.5,15.5,500
7-May-09,15.5,15.5,15.3,15.5,1000
12-May-09,15.5,16,14.5,15.7,2000
13-May-09,15.7,15.2,14.71,14.93,3000
14-May-09,14.93,15.34,15.3,15.3,500
15-May-09,15.3,14.31,14.31,14.31,500
18-May-09,14.31,14.31,14.31,14.31,500
19-May-09,14.31,15.31,14.5,15,3500
21-May-09,15,14.9,14.05,14.48,1500
22-May-09,14.48,15,14.11,14.96,3500
25-May-09,14.96,15.96,15,15.01,2500
26-May-09,15.01,16.01,14.61,15.6,8000
27-May-09,15.6,15.2,14.6,15.2,3000
28-May-09,15.2,15,15,15,500
29-May-09,15,14.65,14.45,14.45,2000
1-Jun-09,14.45,14.45,13.55,14,2500
2-Jun-09,14,14,13.5,14,3000
3-Jun-09,14,13.62,13.62,13.62,500
4-Jun-09,13.62,14.44,13.6,14.44,1000
9-Jun-09,14.44,14.2,13.51,14.2,3000
10-Jun-09,14.2,14.2,14.2,14.2,500
11-Jun-09,14.2,14.25,13.59,14.25,1500
12-Jun-09,14.25,15.25,14.25,14.83,1500
15-Jun-09,14.83,15.5,14.51,15.15,2500
16-Jun-09,15.15,14.34,14.16,14.16,2000
17-Jun-09,14.16,14.69,14.65,14.67,1000
22-Jun-09,14.67,14.64,13.7,14.64,2000
23-Jun-09,14.64,15.64,14.48,15.52,25000
24-Jun-09,15.52,16.52,15.13,16.39,4500
25-Jun-09,16.39,17.39,15.75,17.39,5500
26-Jun-09,17.39,18.39,17,18.19,10000
29-Jun-09,18.19,19.19,19.18,19.19,5000
30-Jun-09,19.19,20.19,18.3,19.87,75000
1-Jul-09,19.87,19.4,19.3,19.4,1500
2-Jul-09,19.4,19,18.9,18.93,1500
3-Jul-09,18.93,18.49,18,18.08,3000
6-Jul-09,18.08,17.21,17.21,17.21,500
7-Jul-09,17.21,17.11,16.55,16.58,2500
8-Jul-09,16.58,17.58,16.5,16.57,7500
9-Jul-09,16.57,16.15,16.1,16.12,2000
13-Jul-09,16.12,16.15,16.15,16.15,500
14-Jul-09,16.15,16.25,16.1,16.1,1500
15-Jul-09,16.1,16.98,16.12,16.12,8000
16-Jul-09,16.12,15.8,15.25,15.25,12000
20-Jul-09,15.25,15.65,15.3,15.3,1500
21-Jul-09,15.3,16.29,15.1,15.97,15291
22-Jul-09,15.97,16.97,15.91,16.95,4505
23-Jul-09,16.95,17.95,17.01,17.95,9005
24-Jul-09,17.95,18.5,18.5,18.5,1
27-Jul-09,18.5,18.84,17.5,17.99,1405
28-Jul-09,17.99,18.45,17.2,18,1002
29-Jul-09,18,17.85,17,17.01,3501
30-Jul-09,17.01,17.95,16.26,17.57,3502
31-Jul-09,17.57,17.8,17,17.8,1800
3-Aug-09,17.8,17.48,16.8,16.82,1273
4-Aug-09,16.82,17.69,16.3,16.99,2433
5-Aug-09,16.99,16.99,16.53,16.97,13541
6-Aug-09,16.97,17.88,16.51,17.05,2301
7-Aug-09,17.05,17.9,16.6,17.28,11603
10-Aug-09,17.28,17.95,16.57,17.35,1004
11-Aug-09,17.35,17.88,16.81,17.63,19592
12-Aug-09,17.63,18.63,16.8,16.89,11201
13-Aug-09,16.89,17.75,16.51,16.58,9001
17-Aug-09,16.58,16.6,16.6,16.6,101
18-Aug-09,16.6,16.9,16,16.16,9197
19-Aug-09,16.16,16.38,15.16,15.52,3101
20-Aug-09,15.52,15.96,15,15.96,3820
21-Aug-09,15.96,16,15.55,15.99,611
24-Aug-09,15.99,16.34,15.03,16.29,1001
25-Aug-09,16.29,16.24,16.24,16.24,8
26-Aug-09,16.24,16,15.36,16,1001
27-Aug-09,16,15.6,15.01,15.52,2002
28-Aug-09,15.52,15.85,15.12,15.66,11336
31-Aug-09,15.66,15.5,15.1,15.18,621
1-Sep-09,15.18,15.02,14.9,14.9,991
2-Sep-09,14.9,15.49,15.49,15.49,501
3-Sep-09,15.49,15.49,15.49,15.49,1
4-Sep-09,15.49,15.23,15.23,15.23,5
7-Sep-09,15.23,15,14.65,15,503
8-Sep-09,15,14.65,14.6,14.6,2401
9-Sep-09,14.6,15.5,14.85,14.85,1001
10-Sep-09,14.85,15.49,14.92,15.15,2007
11-Sep-09,15.15,15.48,14.9,14.91,1102
14-Sep-09,14.91,15.91,15.3,15.87,58702
15-Sep-09,15.87,16.87,15.81,16.74,12551
16-Sep-09,16.74,17.74,17,17.68,20219
17-Sep-09,17.68,18.4,17,17.26,5005
18-Sep-09,17.26,18.26,16.52,18.15,8907
24-Sep-09,18.15,19.15,18.04,18.62,6600
25-Sep-09,18.62,19.62,17.62,19.2,29590
28-Sep-09,19.2,20.2,18.5,19.95,25772
29-Sep-09,19.95,20.9,19.26,20.61,15895
30-Sep-09,20.61,21.64,19.58,21.45,83487
1-Oct-09,21.45,21,20.38,20.46,9461
2-Oct-09,20.46,20,19.44,19.9,5511
5-Oct-09,19.9,20.4,19.2,19.2,1666
6-Oct-09,19.2,19.7,18.6,19.65,7918
7-Oct-09,19.65,20,19.5,19.96,20841
8-Oct-09,19.96,19.06,18.97,19,3500
9-Oct-09,19,19.7,18.6,19.35,7103
12-Oct-09,19.35,18.71,18.6,18.71,1000
14-Oct-09,18.71,18.2,17.71,18.2,2200
15-Oct-09,18.2,18.6,18,18.4,4510
16-Oct-09,18.4,17.41,17.4,17.4,500
19-Oct-09,17.4,17.4,17.4,17.4,310
20-Oct-09,17.4,18.1,17.4,17.78,2000
21-Oct-09,17.78,18,17.55,17.87,4500
22-Oct-09,17.87,17.02,16.88,17.01,1200
23-Oct-09,17.01,16.55,16.5,16.52,1200
26-Oct-09,16.52,16.52,16.52,16.52,500
27-Oct-09,16.52,16.4,15.65,15.86,4107
28-Oct-09,15.86,16.25,15.6,15.65,5000
29-Oct-09,15.65,15.75,15.01,15.75,1501
30-Oct-09,15.75,15.75,15.4,15.4,2074
2-Nov-09,15.4,16.4,15.5,16.2,11436
3-Nov-09,16.2,17.2,16.41,17.2,3554
4-Nov-09,17.2,18.2,18,18.2,3450
5-Nov-09,18.2,19.2,19.15,19.2,5856
6-Nov-09,19.2,20.2,18.2,19.96,36250
10-Nov-09,19.96,20.65,18.96,20.27,20781
11-Nov-09,20.27,19.97,19.26,19.58,5322
12-Nov-09,19.58,20.45,19.05,19.6,2437
13-Nov-09,19.6,20.25,18.65,18.75,1610
16-Nov-09,18.75,19.75,18,19.75,1017841
17-Nov-09,19.75,20.65,19.5,20.65,1097171
18-Nov-09,20.65,20.99,19.65,20,739281
19-Nov-09,20,20.5,19.57,19.9,638802
20-Nov-09,19.9,20,19.01,20,412501
23-Nov-09,20,20.5,19.05,20.37,707002
24-Nov-09,20.37,21.35,19.55,19.55,701025
25-Nov-09,19.55,20,19.5,20,400250
26-Nov-09,20,20.25,19.95,20.05,901000
1-Dec-09,20.05,20.75,19.11,20.25,402519
2-Dec-09,20.25,20.98,19.63,20,526750
3-Dec-09,20,20.79,19.65,20.35,101530
4-Dec-09,20.35,20.98,19.55,20,713301
7-Dec-09,20,20.5,19.5,19.96,407000
8-Dec-09,19.96,20.4,19.4,20.01,959201
9-Dec-09,20.01,20,19.9,20,1002705
10-Dec-09,20,20,19.9,19.98,1010701
11-Dec-09,19.98,20,20,20,700000
14-Dec-09,20,20,20,20,200000
15-Dec-09,20,20,19.9,19.9,1850
16-Dec-09,19.9,20.15,19.31,19.94,1504
17-Dec-09,19.94,20.25,18.94,19.9,5808
18-Dec-09,19.9,20.1,19.3,19.91,11600
21-Dec-09,19.91,20,19.11,19.84,4302
22-Dec-09,19.84,19.85,19.5,19.85,302
23-Dec-09,19.85,20,19.26,19.95,100600
24-Dec-09,19.95,20.1,19.34,19.9,1103
29-Dec-09,19.9,20,19.26,19.63,2
30-Dec-09,19.63,20.2,19.5,20.02,3902
31-Dec-09,20.02,21.02,20.1,20.96,31809
4-Jan-10,20.96,21.5,20.51,20.99,7415
5-Jan-10,20.99,20.7,20,20.03,211330
6-Jan-10,20.03,19.99,19.5,19.99,700
7-Jan-10,19.99,20.65,19.22,20.2,2004
8-Jan-10,20.2,20.18,19.98,19.98,602
11-Jan-10,19.98,20,19.3,19.8,300024
12-Jan-10,19.8,20,20,20,100
13-Jan-10,20,20,19.26,20,12502
14-Jan-10,20,20.25,19.56,20,2700
15-Jan-10,20,20,19.6,19.6,2100
18-Jan-10,19.6,20.4,19.03,19.78,11400
19-Jan-10,19.78,20,19.4,20,1600
20-Jan-10,20,19.97,19.3,19.6,9700
21-Jan-10,19.6,20,19.03,19.47,201006
22-Jan-10,19.47,19.5,18.76,19.25,1504
25-Jan-10,19.25,19.75,19.05,19.2,510
26-Jan-10,19.2,19.49,19,19.08,702
27-Jan-10,19.08,19.9,18.65,19.4,1549
29-Jan-10,19.4,20.39,18.4,20.12,49552
1-Feb-10,20.12,20.9,19.36,20.23,1800
2-Feb-10,20.23,20.19,19.46,20.19,250
3-Feb-10,20.19,20,19.21,19.98,101212
4-Feb-10,19.98,20.75,19.8,20.26,311250
8-Feb-10,20.26,20.37,19.82,20.12,134600
9-Feb-10,20.12,20,19.8,19.8,100000
10-Feb-10,19.8,20.75,18.8,19.86,14491
11-Feb-10,19.86,20.49,19.51,20.07,13811
12-Feb-10,20.07,20.98,19.82,20.5,11521
15-Feb-10,20.5,21.52,19.48,21,12351
16-Feb-10,21,21.3,20.11,20.99,2435
17-Feb-10,20.99,21.81,20.35,20.63,42503
18-Feb-10,20.63,20.85,19.7,20.05,6898
19-Feb-10,20.05,20.45,20,20,4301
22-Feb-10,20,20.45,19.5,20.06,204851
23-Feb-10,20.06,20.05,19.5,19.98,4499
24-Feb-10,19.98,20.29,19.25,20.02,172900
25-Feb-10,20.02,19.99,19.2,19.54,160002
26-Feb-10,19.54,19.18,19.18,19.18,100
1-Mar-10,19.18,19.8,19.2,19.2,300
2-Mar-10,19.2,19.38,18.3,19,1001500
3-Mar-10,19,19,18.02,18.9,1002001
4-Mar-10,18.9,19.9,18.12,19.9,13750
5-Mar-10,19.9,20.2,19,19.94,2791
8-Mar-10,19.94,20,19.27,19.99,1102
9-Mar-10,19.99,19.75,19.75,19.75,530994
10-Mar-10,19.75,20.25,19.2,20,3500
11-Mar-10,20,19.7,19.26,19.7,401001
12-Mar-10,19.7,19.8,19.5,19.6,400208
15-Mar-10,19.6,19.85,19.25,19.25,401001
16-Mar-10,19.25,19.5,19,19,800729
17-Mar-10,19,19.84,18.51,19,700508
18-Mar-10,19,19.7,19,19,800560
19-Mar-10,19,19.5,18.2,18.35,703146
22-Mar-10,18.35,18.86,18.06,18.6,3306
24-Mar-10,18.6,18.94,18.2,18.2,501
25-Mar-10,18.2,18.21,18.2,18.21,1000
26-Mar-10,18.21,18.2,18.2,18.2,1000
29-Mar-10,18.2,18.1,17.5,17.55,2014
30-Mar-10,17.55,18.55,17,18.52,67482
31-Mar-10,18.52,19.5,18,19.5,48132
